REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2016/09/01 00:30:00,7702.93,39.52,TRADE
NSW1,2016/09/01 01:00:00,7588.75,49.84,TRADE
NSW1,2016/09/01 01:30:00,7386.97,46.42,TRADE
NSW1,2016/09/01 02:00:00,7137.67,39.21,TRADE
NSW1,2016/09/01 02:30:00,6773.95,33.48,TRADE
NSW1,2016/09/01 03:00:00,6544.86,32.23,TRADE
NSW1,2016/09/01 03:30:00,6344.69,29.96,TRADE
NSW1,2016/09/01 04:00:00,6313.66,33.12,TRADE
NSW1,2016/09/01 04:30:00,6269.66,29.94,TRADE
NSW1,2016/09/01 05:00:00,6393.42,31.35,TRADE
NSW1,2016/09/01 05:30:00,6702.29,42.50,TRADE
NSW1,2016/09/01 06:00:00,7082.83,38.60,TRADE
NSW1,2016/09/01 06:30:00,7840.29,58.82,TRADE
NSW1,2016/09/01 07:00:00,8438.77,122.15,TRADE
NSW1,2016/09/01 07:30:00,8632.44,61.50,TRADE
NSW1,2016/09/01 08:00:00,8709.33,67.60,TRADE
NSW1,2016/09/01 08:30:00,8647.18,64.48,TRADE
NSW1,2016/09/01 09:00:00,8395.92,56.82,TRADE
NSW1,2016/09/01 09:30:00,8276.94,54.67,TRADE
NSW1,2016/09/01 10:00:00,8143.73,54.90,TRADE
NSW1,2016/09/01 10:30:00,8115.51,55.74,TRADE
NSW1,2016/09/01 11:00:00,8048.42,56.87,TRADE
NSW1,2016/09/01 11:30:00,7972.38,56.02,TRADE
NSW1,2016/09/01 12:00:00,7964.27,56.52,TRADE
NSW1,2016/09/01 12:30:00,7936.62,56.09,TRADE
NSW1,2016/09/01 13:00:00,7864.55,55.12,TRADE
NSW1,2016/09/01 13:30:00,7904.08,57.54,TRADE
NSW1,2016/09/01 14:00:00,7878.63,59.39,TRADE
NSW1,2016/09/01 14:30:00,7892.05,61.31,TRADE
NSW1,2016/09/01 15:00:00,7871.69,55.98,TRADE
NSW1,2016/09/01 15:30:00,7869.74,57.57,TRADE
NSW1,2016/09/01 16:00:00,8028.07,61.68,TRADE
NSW1,2016/09/01 16:30:00,8122.45,53.02,TRADE
NSW1,2016/09/01 17:00:00,8320.72,54.80,TRADE
NSW1,2016/09/01 17:30:00,8668.22,51.60,TRADE
NSW1,2016/09/01 18:00:00,9185.41,66.80,TRADE
NSW1,2016/09/01 18:30:00,9418.48,69.14,TRADE
NSW1,2016/09/01 19:00:00,9378.45,68.40,TRADE
NSW1,2016/09/01 19:30:00,9166.02,56.38,TRADE
NSW1,2016/09/01 20:00:00,8941.66,53.95,TRADE
NSW1,2016/09/01 20:30:00,8815.27,53.04,TRADE
NSW1,2016/09/01 21:00:00,8648.74,42.52,TRADE
NSW1,2016/09/01 21:30:00,8392.75,42.74,TRADE
NSW1,2016/09/01 22:00:00,8135.11,36.39,TRADE
NSW1,2016/09/01 22:30:00,8138.38,56.84,TRADE
NSW1,2016/09/01 23:00:00,7979.77,52.77,TRADE
NSW1,2016/09/01 23:30:00,7924.44,49.61,TRADE
NSW1,2016/09/02 00:00:00,7834.33,49.41,TRADE
NSW1,2016/09/02 00:30:00,7670.26,42.05,TRADE
NSW1,2016/09/02 01:00:00,7461.41,35.61,TRADE
NSW1,2016/09/02 01:30:00,7305.29,36.04,TRADE
NSW1,2016/09/02 02:00:00,7113.07,36.23,TRADE
NSW1,2016/09/02 02:30:00,6746.55,35.52,TRADE
NSW1,2016/09/02 03:00:00,6500.1,35.45,TRADE
NSW1,2016/09/02 03:30:00,6310.25,33.11,TRADE
NSW1,2016/09/02 04:00:00,6248.06,30.50,TRADE
NSW1,2016/09/02 04:30:00,6245.72,30.15,TRADE
NSW1,2016/09/02 05:00:00,6353.04,33.76,TRADE
NSW1,2016/09/02 05:30:00,6624.52,34.76,TRADE
NSW1,2016/09/02 06:00:00,6979.31,34.84,TRADE
NSW1,2016/09/02 06:30:00,7646.7,52.73,TRADE
NSW1,2016/09/02 07:00:00,8264.41,77.41,TRADE
NSW1,2016/09/02 07:30:00,8622.16,63.73,TRADE
NSW1,2016/09/02 08:00:00,8937.25,86.66,TRADE
NSW1,2016/09/02 08:30:00,9046.83,88.21,TRADE
NSW1,2016/09/02 09:00:00,9000.13,70.70,TRADE
NSW1,2016/09/02 09:30:00,9047.38,80.09,TRADE
NSW1,2016/09/02 10:00:00,9131.13,75.49,TRADE
NSW1,2016/09/02 10:30:00,9116.67,85.54,TRADE
NSW1,2016/09/02 11:00:00,9088.88,79.82,TRADE
NSW1,2016/09/02 11:30:00,8972.28,73.03,TRADE
NSW1,2016/09/02 12:00:00,8947.45,71.47,TRADE
NSW1,2016/09/02 12:30:00,8910.43,68.05,TRADE
NSW1,2016/09/02 13:00:00,8849.09,67.53,TRADE
NSW1,2016/09/02 13:30:00,8780.16,76.27,TRADE
NSW1,2016/09/02 14:00:00,8736.94,73.90,TRADE
NSW1,2016/09/02 14:30:00,8711.29,66.24,TRADE
NSW1,2016/09/02 15:00:00,8696.09,60.68,TRADE
NSW1,2016/09/02 15:30:00,8625.08,52.39,TRADE
NSW1,2016/09/02 16:00:00,8779.14,60.74,TRADE
NSW1,2016/09/02 16:30:00,8918.38,71.49,TRADE
NSW1,2016/09/02 17:00:00,9133.35,71.76,TRADE
NSW1,2016/09/02 17:30:00,9334.62,68.06,TRADE
NSW1,2016/09/02 18:00:00,9605.9,69.09,TRADE
NSW1,2016/09/02 18:30:00,9663.8,73.09,TRADE
NSW1,2016/09/02 19:00:00,9546.49,69.51,TRADE
NSW1,2016/09/02 19:30:00,9265.01,55.05,TRADE
NSW1,2016/09/02 20:00:00,9021.55,66.37,TRADE
NSW1,2016/09/02 20:30:00,8801.42,61.10,TRADE
NSW1,2016/09/02 21:00:00,8607.22,51.82,TRADE
NSW1,2016/09/02 21:30:00,8371.66,41.15,TRADE
NSW1,2016/09/02 22:00:00,8161.89,35.73,TRADE
NSW1,2016/09/02 22:30:00,8193.96,47.72,TRADE
NSW1,2016/09/02 23:00:00,8035.44,37.52,TRADE
