"","P_E_DA","E_DA","P_E_RT","E_RT","P_R_PR","R_PR","P_R_RU","P_R_RD","R_RU","R_RD","P_E_RU","P_E_RD","E_RU","E_RD"
"1",23.86,40128.75,176.677300613497,326,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,57.1143250688705,37.5283,90.75,-125
"2",22.39,38162.5,81.6937735849057,159,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,53.7208920187793,15.6443801652893,53.25,-30.25
"3",20.59,36769,54.8569014084507,568,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,57.6171670702179,12.0989333333333,103.25,-18.75
"4",16.81,36452.5,47.5802127659574,1128,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,59.1331147540984,9.8618,152.5,-12.5
"5",17.41,36577.75,119.141326530612,98,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,52.1248192771084,15.7629268292683,20.75,-30.75
"6",17.02,37173,38.4543867243867,693,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,53.1158854166667,7.08054054054054,48,-9.25
"7",15.86,38645,41.4884575835476,778,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,53.6555714285714,7.53526315789474,70,-9.5
"8",18.16,41436,-40.2754778887304,-701,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,51.9071212121212,29.5932133333333,16.5,-187.5
"9",17.73,43562.25,-30.2450334777471,-2539,28.1763095238095,583,7.76533333333333,10.107,2500,2500,50.4787096774194,30.0074717832957,7.75,-221.5
"10",19.77,45413.5,-45.8428058510638,-2256,28.1763095238095,583,7.76533333333333,10.107,2500,2500,55.6576923076923,23.9945945945946,52,-120.25
"11",23.75,47467,-31.7064675428116,-2511,28.1763095238095,583,7.76533333333333,10.107,2500,2500,51.6857894736842,25.4075746268657,14.25,-134
"12",26.03,49735.5,-37.8378057065217,-1472,28.1763095238095,583,7.76533333333333,10.107,2500,2500,53.9171755725191,22.4462125340599,32.75,-91.75
"13",27.06,49661.25,-20.9042784626541,-1379,28.1763095238095,583,7.76533333333333,10.107,2500,2500,50.8727777777778,28.7588,9,-212.5
"14",26.59,48274.25,-40.7507807807808,-666,28.1763095238095,583,7.76533333333333,10.107,2500,2500,52.3637333333333,29.3596296296296,18.75,-195.75
"15",25,46918.25,56.7447305389222,334,28.1763095238095,583,7.76533333333333,10.107,2500,2500,52.8933613445378,16.8830769230769,29.75,-35.75
"16",24.43,46270,49.3432593856655,586,28.1763095238095,583,7.76533333333333,10.107,2500,2500,53.9456953642384,12.1078666666667,75.5,-18.75
"17",28.87,47815.25,50.0525423728814,1239,28.1763095238095,583,4.31407407407407,5.615,2500,2500,58.3851003541913,11.6105882352941,211.75,-17
"18",37.44,50810.75,-110.553086419753,-243,28.1763095238095,583,4.31407407407407,5.615,2500,2500,52.1523188405797,26.5262376237624,17.25,-126.25
"19",37.41,51360.75,-25.2368950749465,-467,28.1763095238095,583,4.31407407407407,5.615,2500,2500,50.8381081081081,24.28,9.25,-115.5
"20",35.34,49848.5,-53.0395466369379,-2691,28.1763095238095,583,4.31407407407407,5.615,2500,2500,49.05,60.1088224030637,1.25,-522.25
"21",33.07,46697.5,-47.636613872201,-1831,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,54.10015625,40.7587351351351,48,-231.25
"22",29.52,44839.75,-29.5837408759124,-1096,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,50.8758823529412,33.8108737864078,8.5,-231.75
"23",30.1,46156.75,-5.14516190476191,-525,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,52.1314583333333,22.4755440414508,24,-96.5
"24",24.57,43415,145.024456521739,184,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,53.5842553191489,23.4125742574257,58.75,-101
"25",22.2,39997.25,-112.529406487233,-4347,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,49.05,123.23425590672,1,-814.75
"26",16.57,38854.25,-73.2994386106624,-2476,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,53.1387012987013,66.5725338833235,19.25,-424.25
"27",15.35,37760.5,-75.088504398827,-3410,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,0,82.3902012913027,0,-658.25
"28",12.77,37253.5,-57.0242386091127,-1668,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,50.7088235294118,37.8540950920245,8.5,-163
"29",11.27,36994.25,-23.575,-444,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,51.8736923076923,22.7062559241706,16.25,-105.5
"30",11.91,36772.75,-74.2580856219709,-1238,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,54.8567307692308,49.0983602771363,39,-324.75
"31",12.62,36438,-44.7165052631579,-475,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,51.9560606060606,25.7525816993464,16.5,-153
"32",13.83,38901.75,145.176329113924,158,28.1763095238095,583,8.81185185185185,11.7958333333333,2500,2500,52.5525373134328,23.983797752809,33.5,-111.25
"33",16.12,41733.5,-3566.3228,-25,28.1763095238095,583,4.31407407407407,5.615,2500,2500,58.1595075757576,11.8439024390244,132,-205
