Date;Time of day;Balancing energy volume[MWh];Balancing energy price[Euro/MWh]
Jan 1, 2016;12:00 AM;-460;-47.43
Jan 1, 2016;12:15 AM;58;78.73
Jan 1, 2016;12:30 AM;477;45.75
Jan 1, 2016;12:45 AM;251;37.41
Jan 1, 2016;1:00 AM;85;65.72
Jan 1, 2016;1:15 AM;136;46.54
Jan 1, 2016;1:30 AM;-1;-99.5
Jan 1, 2016;1:45 AM;-61;-15.97
Jan 1, 2016;2:00 AM;361;59.67
Jan 1, 2016;2:15 AM;105;44.51
Jan 1, 2016;2:30 AM;83;44.26
Jan 1, 2016;2:45 AM;19;66.88
Jan 1, 2016;3:00 AM;447;57.51
Jan 1, 2016;3:15 AM;321;42.71
Jan 1, 2016;3:30 AM;104;41.3
Jan 1, 2016;3:45 AM;256;38.9
Jan 1, 2016;4:00 AM;103;47.58
Jan 1, 2016;4:15 AM;-108;-3.47
Jan 1, 2016;4:30 AM;-87;3.35
Jan 1, 2016;4:45 AM;190;35.22
Jan 1, 2016;5:00 AM;209;38.64
Jan 1, 2016;5:15 AM;313;38.2
Jan 1, 2016;5:30 AM;144;36.26
Jan 1, 2016;5:45 AM;27;51.67
Jan 1, 2016;6:00 AM;310;39.94
Jan 1, 2016;6:15 AM;240;39.17
Jan 1, 2016;6:30 AM;146;47.57
Jan 1, 2016;6:45 AM;82;43.3
Jan 1, 2016;7:00 AM;95;74.63
Jan 1, 2016;7:15 AM;-50;-22.11
Jan 1, 2016;7:30 AM;-320;-27.26
Jan 1, 2016;7:45 AM;-426;-26.56
Jan 1, 2016;8:00 AM;-446;-25.7
Jan 1, 2016;8:15 AM;-765;-27.89
Jan 1, 2016;8:30 AM;-599;-26.14
Jan 1, 2016;8:45 AM;-729;-38.87
Jan 1, 2016;9:00 AM;-190;-177.27
Jan 1, 2016;9:15 AM;-651;-49.34
Jan 1, 2016;9:30 AM;-704;-25.29
Jan 1, 2016;9:45 AM;-711;-27.87
Jan 1, 2016;10:00 AM;-805;-28.5
Jan 1, 2016;10:15 AM;-590;-36.41
Jan 1, 2016;10:30 AM;-545;-32.73
Jan 1, 2016;10:45 AM;-571;-30.39
Jan 1, 2016;11:00 AM;-342;-60.49
Jan 1, 2016;11:15 AM;-447;-34.39
Jan 1, 2016;11:30 AM;-389;-26.1
Jan 1, 2016;11:45 AM;-294;-32.26
Jan 1, 2016;12:00 PM;-375;-20.65
Jan 1, 2016;12:15 PM;-271;-17.09
Jan 1, 2016;12:30 PM;-392;-21.77
Jan 1, 2016;12:45 PM;-341;-23.22
Jan 1, 2016;1:00 PM;-409;-28.93
Jan 1, 2016;1:15 PM;-244;-28.78
Jan 1, 2016;1:30 PM;-41;-134.13
Jan 1, 2016;1:45 PM;28;99.5
Jan 1, 2016;2:00 PM;312;40.49
Jan 1, 2016;2:15 PM;102;43.18
Jan 1, 2016;2:30 PM;-10;-99.5
Jan 1, 2016;2:45 PM;-70;-13.15
Jan 1, 2016;3:00 PM;145;52.38
Jan 1, 2016;3:15 PM;194;47.35
Jan 1, 2016;3:30 PM;215;47.53
Jan 1, 2016;3:45 PM;32;59.85
Jan 1, 2016;4:00 PM;360;33.69
Jan 1, 2016;4:15 PM;369;46.99
Jan 1, 2016;4:30 PM;279;67.22
Jan 1, 2016;4:45 PM;231;59.71
Jan 1, 2016;5:00 PM;218;54.94
Jan 1, 2016;5:15 PM;47;65.6
Jan 1, 2016;5:30 PM;-188;-20.61
Jan 1, 2016;5:45 PM;-320;-24.78
Jan 1, 2016;6:00 PM;-188;-5.51
Jan 1, 2016;6:15 PM;-8;-99.5
Jan 1, 2016;6:30 PM;-52;-65.03
Jan 1, 2016;6:45 PM;-219;-30.01
Jan 1, 2016;7:00 PM;-440;-19.18
Jan 1, 2016;7:15 PM;-621;-47.2
Jan 1, 2016;7:30 PM;-704;-70.5
Jan 1, 2016;7:45 PM;-926;-59.77
Jan 1, 2016;8:00 PM;-585;-65.7
Jan 1, 2016;8:15 PM;-423;-31.99
Jan 1, 2016;8:30 PM;-285;-12.35
Jan 1, 2016;8:45 PM;-538;-58.99
Jan 1, 2016;9:00 PM;-321;-30.7
Jan 1, 2016;9:15 PM;-181;1.28
Jan 1, 2016;9:30 PM;-173;-26.96
Jan 1, 2016;9:45 PM;-421;-43.08
Jan 1, 2016;10:00 PM;-145;0.39
Jan 1, 2016;10:15 PM;-180;5.84
Jan 1, 2016;10:30 PM;-168;-3.72
Jan 1, 2016;10:45 PM;-32;-99.5
Jan 1, 2016;11:00 PM;72;99.87
Jan 1, 2016;11:15 PM;24;99.5
Jan 1, 2016;11:30 PM;-142;-44.58
Jan 1, 2016;11:45 PM;230;46.85
Jan 2, 2016;12:00 AM;-715;-122.92
Jan 2, 2016;12:15 AM;-1,128;-168.93
Jan 2, 2016;12:30 AM;-1,263;-110.12
Jan 2, 2016;12:45 AM;-1,241;-57.73
Jan 2, 2016;1:00 AM;-543;-75.54
Jan 2, 2016;1:15 AM;-542;-38.93
Jan 2, 2016;1:30 AM;-706;-85.28
Jan 2, 2016;1:45 AM;-685;-86.37
Jan 2, 2016;2:00 AM;-645;-71.77
Jan 2, 2016;2:15 AM;-787;-48.67
Jan 2, 2016;2:30 AM;-994;-84.11
Jan 2, 2016;2:45 AM;-984;-89.28
Jan 2, 2016;3:00 AM;-823;-66.34
Jan 2, 2016;3:15 AM;-417;-54.23
Jan 2, 2016;3:30 AM;-201;-59.41
Jan 2, 2016;3:45 AM;-227;-26.27
Jan 2, 2016;4:00 AM;-110;-29.81
Jan 2, 2016;4:15 AM;-99;-30.03
Jan 2, 2016;4:30 AM;-118;-17.27
Jan 2, 2016;4:45 AM;-117;-18.61
Jan 2, 2016;5:00 AM;-395;-34.21
Jan 2, 2016;5:15 AM;-627;-70.58
Jan 2, 2016;5:30 AM;-355;-57.28
Jan 2, 2016;5:45 AM;139;99.5
Jan 2, 2016;6:00 AM;-84;-99.5
Jan 2, 2016;6:15 AM;-230;-34.83
Jan 2, 2016;6:30 AM;-154;-27.11
Jan 2, 2016;6:45 AM;-7;-99.5
Jan 2, 2016;7:00 AM;192;20.23
Jan 2, 2016;7:15 AM;100;47.07
Jan 2, 2016;7:30 AM;-64;-38.7
Jan 2, 2016;7:45 AM;-70;-169.57
Jan 2, 2016;8:00 AM;-141;-90.6
Jan 2, 2016;8:15 AM;-92;-438.21
Jan 2, 2016;8:30 AM;77;309.21
Jan 2, 2016;8:45 AM;131;93.58
Jan 2, 2016;9:00 AM;196;46.02
Jan 2, 2016;9:15 AM;2;99.5
Jan 2, 2016;9:30 AM;-118;-4.53
Jan 2, 2016;9:45 AM;157;53.74
Jan 2, 2016;10:00 AM;-1;-99.5
Jan 2, 2016;10:15 AM;19;99.5
Jan 2, 2016;10:30 AM;40;95.98
Jan 2, 2016;10:45 AM;-94;15.42
Jan 2, 2016;11:00 AM;-52;-105.14
Jan 2, 2016;11:15 AM;106;63.35
Jan 2, 2016;11:30 AM;118;57.79
Jan 2, 2016;11:45 AM;192;51.61
Jan 2, 2016;12:00 PM;180;61.32
Jan 2, 2016;12:15 PM;177;59.83
Jan 2, 2016;12:30 PM;230;58.34
Jan 2, 2016;12:45 PM;310;50.88
Jan 2, 2016;1:00 PM;148;84.98
Jan 2, 2016;1:15 PM;199;50.5
Jan 2, 2016;1:30 PM;219;55.49
Jan 2, 2016;1:45 PM;-24;-200
Jan 2, 2016;2:00 PM;171;65.49
Jan 2, 2016;2:15 PM;406;53.89
Jan 2, 2016;2:30 PM;413;55.29
Jan 2, 2016;2:45 PM;304;46.64
Jan 2, 2016;3:00 PM;270;40.14
Jan 2, 2016;3:15 PM;412;47.48
Jan 2, 2016;3:30 PM;395;44.66
Jan 2, 2016;3:45 PM;385;44.46
Jan 2, 2016;4:00 PM;336;38.1
Jan 2, 2016;4:15 PM;378;52.38
Jan 2, 2016;4:30 PM;326;49.74
Jan 2, 2016;4:45 PM;552;58.45
Jan 2, 2016;5:00 PM;248;51.36
Jan 2, 2016;5:15 PM;135;87.86
Jan 2, 2016;5:30 PM;79;94.95
Jan 2, 2016;5:45 PM;166;53.73
Jan 2, 2016;6:00 PM;357;53.13
Jan 2, 2016;6:15 PM;836;55.58
Jan 2, 2016;6:30 PM;341;75.38
Jan 2, 2016;6:45 PM;327;47.28
Jan 2, 2016;7:00 PM;719;70.16
Jan 2, 2016;7:15 PM;1,017;95.21
Jan 2, 2016;7:30 PM;913;93.54
Jan 2, 2016;7:45 PM;872;92.81
Jan 2, 2016;8:00 PM;381;58.64
Jan 2, 2016;8:15 PM;484;57.65
Jan 2, 2016;8:30 PM;575;49.86
Jan 2, 2016;8:45 PM;591;48.39
Jan 2, 2016;9:00 PM;400;53.95
Jan 2, 2016;9:15 PM;336;38.86
Jan 2, 2016;9:30 PM;239;29.09
Jan 2, 2016;9:45 PM;234;48.58
Jan 2, 2016;10:00 PM;863;72.79
Jan 2, 2016;10:15 PM;683;114.94
Jan 2, 2016;10:30 PM;645;58.24
Jan 2, 2016;10:45 PM;494;66.93
Jan 2, 2016;11:00 PM;-39;-610
Jan 2, 2016;11:15 PM;114;81.81
Jan 2, 2016;11:30 PM;75;108.29
Jan 2, 2016;11:45 PM;310;62.42
Jan 3, 2016;12:00 AM;643;63.28
Jan 3, 2016;12:15 AM;943;61.32
Jan 3, 2016;12:30 AM;731;52.92
Jan 3, 2016;12:45 AM;542;40.21
Jan 3, 2016;1:00 AM;771;70.17
Jan 3, 2016;1:15 AM;649;55.62
Jan 3, 2016;1:30 AM;335;42.53
Jan 3, 2016;1:45 AM;201;45.06
Jan 3, 2016;2:00 AM;176;60.2
Jan 3, 2016;2:15 AM;134;51.88
Jan 3, 2016;2:30 AM;-88;-23.56
Jan 3, 2016;2:45 AM;5;99.5
Jan 3, 2016;3:00 AM;194;43.82
Jan 3, 2016;3:15 AM;446;44.46
Jan 3, 2016;3:30 AM;390;36.03
Jan 3, 2016;3:45 AM;27;70.64
Jan 3, 2016;4:00 AM;55;67.32
Jan 3, 2016;4:15 AM;411;42.64
Jan 3, 2016;4:30 AM;492;45.75
Jan 3, 2016;4:45 AM;361;43.56
Jan 3, 2016;5:00 AM;572;57.01
Jan 3, 2016;5:15 AM;533;54.37
Jan 3, 2016;5:30 AM;303;55.88
Jan 3, 2016;5:45 AM;145;68.95
Jan 3, 2016;6:00 AM;621;60.2
Jan 3, 2016;6:15 AM;688;64.64
Jan 3, 2016;6:30 AM;559;106.06
Jan 3, 2016;6:45 AM;348;127.93
Jan 3, 2016;7:00 AM;257;94.57
Jan 3, 2016;7:15 AM;249;49.98
Jan 3, 2016;7:30 AM;484;58.36
Jan 3, 2016;7:45 AM;279;55.86
Jan 3, 2016;8:00 AM;344;40.69
Jan 3, 2016;8:15 AM;108;82.31
Jan 3, 2016;8:30 AM;67;79.63
Jan 3, 2016;8:45 AM;225;47.58
Jan 3, 2016;9:00 AM;-291;-32.27
Jan 3, 2016;9:15 AM;-252;-29.79
Jan 3, 2016;9:30 AM;319;47.76
Jan 3, 2016;9:45 AM;458;54.69
Jan 3, 2016;10:00 AM;174;72.56
Jan 3, 2016;10:15 AM;254;52.16
Jan 3, 2016;10:30 AM;164;48.94
Jan 3, 2016;10:45 AM;208;55.4
Jan 3, 2016;11:00 AM;-51;-125.24
