Date;Time of day;Germany/Austria/Luxembourg[Euro/MWh];Denmark 1[Euro/MWh];Denmark 2[Euro/MWh];France[Euro/MWh];Northern Italy[Euro/MWh];Netherlands[Euro/MWh];Poland[Euro/MWh];Sweden 4[Euro/MWh];Switzerland[Euro/MWh];Slovenia[Euro/MWh];Czech Republic[Euro/MWh];Hungary[Euro/MWh]
Jan 1, 2016;12:00 AM;23.86;16.39;16.39;23.86;49.62;23.86;28.11;16.39;41.09;49.62;16.5;32.9
Jan 1, 2016;1:00 AM;22.39;16.04;16.04;22.39;43.5;22.39;-;16.04;40.16;43.5;15.5;33.34
Jan 1, 2016;2:00 AM;20.59;15.74;15.74;20.59;38.63;20.59;-;15.74;36.03;38.63;14;30.95
Jan 1, 2016;3:00 AM;16.81;15.57;15.57;16.81;36.8;16.81;-;15.57;33.59;36.8;10.01;26.28
Jan 1, 2016;4:00 AM;17.41;15.47;15.47;17.41;34.5;17.41;-;15.47;32.92;34.5;8.97;24.74
Jan 1, 2016;5:00 AM;17.02;15.75;15.75;17.02;32.1;17.02;-;15.75;32.8;32.1;12.23;27.28
Jan 1, 2016;6:00 AM;15.86;15.36;15.36;15.86;36;15.86;-;15.36;32.93;28.7;12.1;24.73
Jan 1, 2016;7:00 AM;18.16;15.37;15.37;18.16;37.54;18.16;-;15.37;25.43;30.98;14;20.98
Jan 1, 2016;8:00 AM;17.73;15.19;15.19;17.73;37.54;17.73;17.57;15.19;30.01;29.98;5;21.41
Jan 1, 2016;9:00 AM;19.77;15.39;15.39;19.77;35.95;19.77;22.85;15.39;32.34;32.66;10.01;24.13
Jan 1, 2016;10:00 AM;23.75;15.78;15.78;23.75;37.63;23.75;27.9;15.78;34.07;35.1;14.5;26.21
Jan 1, 2016;11:00 AM;26.03;16.15;16.15;26.03;36.8;26.03;32.81;16.15;34.56;35.1;5;26.05
Jan 1, 2016;12:00 PM;27.06;16.5;16.5;27.06;37.54;27.06;32.85;16.5;35.49;35.1;6;28.49
Jan 1, 2016;1:00 PM;26.59;16.72;16.72;26.59;34.6;26.59;-;16.72;33.29;34.6;11.05;30.26
Jan 1, 2016;2:00 PM;25;17.17;17.17;25;35.95;25;32.72;17.17;35.66;35.95;21;33.04
Jan 1, 2016;3:00 PM;24.43;18;18;20.06;41.18;27.04;32;18;39.83;41.18;25;43.92
Jan 1, 2016;4:00 PM;28.87;18.53;18.53;19.43;46.65;34.46;32.57;18.53;41.07;46.65;31.2;58.52
Jan 1, 2016;5:00 PM;37.44;19.11;19.11;24.57;57.96;45.14;33.97;19.11;52.28;57.96;34.02;59.84
Jan 1, 2016;6:00 PM;37.41;18.68;18.68;33.11;61.31;40;34.49;18.68;51.92;61.31;35;59.18
Jan 1, 2016;7:00 PM;35.34;17.93;17.93;35.34;60;35.34;34.83;17.93;49.44;60;34.5;56.09
Jan 1, 2016;8:00 PM;33.07;17.69;17.69;33.07;57;33.07;33.81;17.69;48.2;57;34.03;53
Jan 1, 2016;9:00 PM;29.52;17.33;17.33;29.52;55;29.52;33.43;17.33;44.93;55;30;52.02
Jan 1, 2016;10:00 PM;30.1;16.75;16.75;30.1;46.76;30.1;27.08;16.75;43.77;46.76;28.13;42.97
Jan 1, 2016;11:00 PM;24.57;16.25;16.25;24.57;43.21;24.57;25.2;16.25;40.84;43.21;21.8;38.95
Jan 2, 2016;12:00 AM;22.2;0.67;16.47;22.2;39.52;22.2;-;16.47;39.73;39.52;0.01;26.3
Jan 2, 2016;1:00 AM;16.57;9.9;15.89;16.57;36.29;16.57;-;15.89;36.87;36.29;1;24.93
Jan 2, 2016;2:00 AM;15.35;15.03;15.03;15.35;35.89;15.35;-;15.03;33.53;35.89;0.01;16.58
Jan 2, 2016;3:00 AM;12.77;12.77;13.19;12.77;35.22;12.77;19.21;13.19;31.4;35.22;0.01;11.05
Jan 2, 2016;4:00 AM;11.27;11.27;12.69;11.27;35.15;11.27;19.42;12.69;24.94;35.15;2.01;12.95
Jan 2, 2016;5:00 AM;11.91;11.91;12.94;11.91;35.89;11.91;19.21;12.94;29.04;35.89;1;19.04
Jan 2, 2016;6:00 AM;12.62;12.62;13.59;12.62;38.72;12.62;20.29;13.59;32.51;38.72;0.01;22.54
Jan 2, 2016;7:00 AM;13.83;13.83;14.25;14.17;45.88;15.27;28.79;14.25;37.75;45.88;1;22.92
Jan 2, 2016;8:00 AM;16.12;16.12;15.7;17.73;54.51;22.34;30.67;15.7;40.16;54.51;5.11;27.38
Jan 2, 2016;9:00 AM;18.12;15.72;15.72;20.29;55;27.44;34.19;15.72;41.56;55;22;32.93
Jan 2, 2016;10:00 AM;19.59;15.97;15.97;24.3;54.61;37;34.2;15.97;41.58;54.61;41.29;41.29
Jan 2, 2016;11:00 AM;21.07;15.98;16.14;25.05;48.48;38;33.97;16.14;41.66;48.48;51.08;51.08
