"","G_gas","G_coal_brown","G_coal_hard","G_bio","G_hydro","G_nuclear","G_wind_on","G_wind_off","G_pv","G_otherRE","G_phes","G_otherCONV"
"1",1157.5,13298,4535.25,4716,1139.25,6457.5,12118.5,3303.25,0,106,166.25,4856.75
"2",1163,13702.75,4847.25,4713.5,1138.5,6456.5,12059,3303.5,0,106,98.5,4937.5
"3",1137,14183,4585.75,4717.25,1137.25,6457.5,11780.5,3298.75,0,106,54.5,4258.75
"4",1116.75,14419,4588.75,4709.5,1124.25,6494,11431.25,3299.75,0,106,1,4612
"5",1116.5,13958.75,4502.25,4714,1122,6511.75,11566.5,3298.5,0,106,0.5,4628.75
"6",1117,13890.5,4408,4714.5,1118.25,6515.5,11964,3289.25,0,106,0.75,4777.5
"7",1110.5,13931.25,3961,4709,1125.25,6513.5,12716,3187.5,0,106,1,4600
"8",1141.25,13707.75,4015.5,4717,1110.5,6514.25,13019.25,2883.25,0.75,106,0.75,4363.75
"9",1150.5,13505.75,3920.75,4726.25,1094,6514.75,13154.75,2661,274,106,127.5,4701.75
"10",1142,13386,3911.5,4724.5,1097.25,6513.25,13116,2605.5,2082.75,106,67,5313
"11",1142.5,13372.25,4281,4744.75,1097.75,6505.75,12196.25,2308.25,4678.75,106,43.5,5597
"12",1182.25,13360,4793.5,4738,1090.25,6493,11130.25,2170.5,6830.75,106,1.25,6282.5
"13",1190.25,13488.5,4945.25,4077.25,1011.25,6501.5,10283,1952,7926,106,102.25,5954
"14",1170.25,13789.5,4993.25,3418,938.25,6506.5,9593,1427,7084.25,106,18.5,5269.75
"15",1150.5,13523.25,5612,3418,943.25,6510,9043.75,785.25,4635.25,106,1347.25,5066.5
"16",1135.5,13021.5,6999.25,3418,948.75,6509.5,8545.75,448.25,1660.5,106,1883.5,5656
"17",1157.5,12881.5,7941.5,3418,946,6503.25,8621.25,526,118.25,106,1060.25,5871.75
"18",1179,12426.75,8666.5,3418,980,6498.25,9141.75,595.5,0.25,106,5107.5,6269
"19",1187.25,12436,8932.25,3418,1001.25,6498.75,9120,755.75,0,106,4229.75,6165.5
"20",1200,12429.5,9194,3418,1005,6497,9296.25,930.5,0,106,3096,6621
"21",1211,12570.75,9659.25,3418,1016.5,6498,9511.5,1582.5,0,106,1380.5,6457.25
"22",1207.75,12594.25,9740,3418,984.25,6490.5,9552.75,1980.75,0,106,302.5,6218
"23",1214.5,12546.25,9535.25,3418,998.75,6481.5,9891.25,2447.5,0,106,315.25,5732.25
"24",1225.25,12550.25,8634.25,3418,996.75,6479.75,9545.75,2714,0,106,389,5228.75
"25",1209.5,12974.75,6204.75,3423,1015.75,6466,9428.5,2960.75,0,106,20.5,4582
"26",1216.25,13309.75,5704.75,3423,1017.5,6435.5,9915.5,2994,0,106,0.25,4027.25
"27",1218.25,14136,5259.75,3423,1011.5,6438.25,10058.75,2651,0,106,16,4203
"28",1210.5,14406,5517.5,3423,1011.5,6436.25,10295.75,2398.25,0,106,0.5,4632.5
"29",1201,14083.25,6554.75,3423,1003.5,6438.75,9883.75,2105.25,0,106,0,5032
"30",1184.5,13618,8940.25,3423,1002.75,6434.75,9823.5,2039,0,106,20.25,5900.75
"31",1379,13877,11170,3423,996,6438.5,10080.5,2047.25,0,106,40.25,6223.5
"32",1689.75,13999.5,13857.75,3423,1032.25,6436.75,10255.75,1669.25,0,106,400.25,7336.25
"33",2083.5,14203.75,15529.75,3423,1017,6433.5,9721.75,1684.5,105.25,106,1670.5,7830.25
"34",2645,14415.25,15660.75,3749,1075.5,6436.75,8482,2036,773.75,106,3315.5,8306.25
"35",2861.75,13826.75,15959.75,4725.75,1125.75,6437,7834.75,2487,1627,106,2856.5,8647.5
"36",3104.75,13669.25,16092.25,4722.5,1151.25,6439.5,7041.75,2782.75,2401.25,106,2909,8470.75
"37",3477.25,13331.75,16195.25,4719,1193.25,6436.5,7215.25,2861.75,2868.25,106,2495.25,8235.5
"38",3402.25,13684.5,16259.75,4718,1133.25,6431,7533.25,2562.25,2528,106,1007,7886
"39",3535.75,13754,16261.25,4715.75,1095,6441,7808.75,2700.75,1572.25,106,596.5,7692.75
"40",3564.25,13903.25,16345.5,4727.75,1111.25,6438.5,8052.25,2510.5,556.5,106,1646.75,7689.5
"41",3685.75,14034.25,16241.25,4714.25,1116.75,6442.75,8430,2612.25,47.75,106,1525,7924
"42",3707.25,14100,16154,4720.25,1107.25,6432.25,9230.75,2895.5,0,106,1990.75,7858.25
"43",3396.75,14401,15988.75,4721.5,1128.5,6424.75,10408.75,3030.75,0,106,1392.5,7987.25
"44",3252.5,14631,15710.25,4722,1130.25,6431,11040.75,2859.25,0,106,1001.5,7997.5
"45",2722.75,14647,15167.5,4721,1122.25,6427.75,11049.5,2856.75,0,106,470,7937
"46",2027.5,14498,13942,4716.75,1129.5,6435.25,11539.5,2709.25,0,106,634,7338.75
"47",1602.75,13657,12509.5,4709,1122.25,6436.5,11942.75,2779,0,106,953.5,7491.5
"48",1282.5,12989,10115.25,4705,1119.5,6434.5,13024.75,2652.75,0,106,79.25,7359.5
