Date;Time of day;Biomass[MWh];Hydropower[MWh];Wind offshore[MWh];Wind onshore[MWh];Photovoltaics[MWh];Other renewable[MWh];Nuclear[MWh];Fossil brown coal[MWh];Fossil hard coal[MWh];Fossil gas[MWh];Hydro pumped storage[MWh];Other conventional[MWh]
Jan 1, 2017;12:00 AM;1,181;284;825;3,011.5;0;26.5;1,614;3,317.5;1,109.75;291.25;0.25;1,238
Jan 1, 2017;12:15 AM;1,178.75;284.5;826;3,029.25;0;26.5;1,615.75;3,336;1,115;290.75;53.75;1,232.75
Jan 1, 2017;12:30 AM;1,178.25;285.25;825.75;3,054.75;0;26.5;1,614.25;3,321.25;1,148.5;288.5;56.5;1,219.75
Jan 1, 2017;12:45 AM;1,178;285.5;826.5;3,023;0;26.5;1,613.5;3,323.25;1,162;287;55.75;1,166.25
Jan 1, 2017;1:00 AM;1,177.75;284.5;827;3,017.25;0;26.5;1,616;3,423.5;1,211.75;289.75;30.5;1,271
Jan 1, 2017;1:15 AM;1,178;284.5;825.75;3,014;0;26.5;1,613.25;3,419.75;1,213.25;291.25;32.75;1,231
Jan 1, 2017;1:30 AM;1,178.75;285;825.75;3,029.25;0;26.5;1,613.75;3,425.5;1,212.5;290.5;35.25;1,209.5
Jan 1, 2017;1:45 AM;1,179;284.5;825;2,998.5;0;26.5;1,613.5;3,434;1,209.75;291.5;0;1,226
Jan 1, 2017;2:00 AM;1,178.5;285;825;2,998.75;0;26.5;1,615.5;3,509.25;1,141.75;288.25;54;942.75
Jan 1, 2017;2:15 AM;1,178;284.75;824.75;2,971.75;0;26.5;1,613.25;3,539.75;1,149.5;285;0.25;1,031.25
Jan 1, 2017;2:30 AM;1,180.75;284.5;824.75;2,920.25;0;26.5;1,615.25;3,568;1,143.25;283;0;1,138.75
Jan 1, 2017;2:45 AM;1,180;283;824.25;2,889.75;0;26.5;1,613.5;3,566;1,151.25;280.75;0.25;1,146
Jan 1, 2017;3:00 AM;1,176.75;282.5;824.5;2,866.25;0;26.5;1,621.25;3,613.25;1,169.5;280.75;0.25;1,140.25
Jan 1, 2017;3:15 AM;1,177;281.5;824.75;2,853.5;0;26.5;1,623.5;3,605.25;1,148.25;280.5;0.25;1,136.5
Jan 1, 2017;3:30 AM;1,177.75;280.5;825;2,844.5;0;26.5;1,624.25;3,605;1,136.25;279.25;0.25;1,151.25
Jan 1, 2017;3:45 AM;1,178;279.75;825.5;2,867;0;26.5;1,625;3,595.5;1,134.75;276.25;0.25;1,184
Jan 1, 2017;4:00 AM;1,177.25;280.5;825.5;2,888.25;0;26.5;1,627.75;3,572.75;1,122.25;278;0;1,181.5
Jan 1, 2017;4:15 AM;1,179;280.25;825;2,892.25;0;26.5;1,627.5;3,492.5;1,120.5;281;0.25;1,128
Jan 1, 2017;4:30 AM;1,178.5;280.5;824.25;2,875.75;0;26.5;1,628;3,448;1,131.5;278.5;0;1,144.75
Jan 1, 2017;4:45 AM;1,179.25;280.75;823.75;2,910.25;0;26.5;1,628.5;3,445.5;1,128;279;0.25;1,174.5
Jan 1, 2017;5:00 AM;1,179.75;280.5;824.25;2,945.75;0;26.5;1,629.5;3,472;1,128.25;280.75;0;1,179.75
Jan 1, 2017;5:15 AM;1,178.75;280;824.75;2,982.25;0;26.5;1,629;3,474.75;1,111.25;280.75;0.25;1,205.5
Jan 1, 2017;5:30 AM;1,177.75;279.25;821;3,001.5;0;26.5;1,628.5;3,474.5;1,087.25;277.25;0.25;1,175.25
Jan 1, 2017;5:45 AM;1,178.25;278.5;819.25;3,034.5;0;26.5;1,628.5;3,469.25;1,081.25;278.25;0.25;1,217
Jan 1, 2017;6:00 AM;1,177.25;281;817;3,167.5;0;26.5;1,627.75;3,485;990.5;276.5;0.25;1,198
Jan 1, 2017;6:15 AM;1,177.25;282;802.5;3,143.25;0;26.5;1,628.75;3,488.5;968.5;278.5;0.25;1,185
Jan 1, 2017;6:30 AM;1,177.5;281.5;789.25;3,163.75;0;26.5;1,628.5;3,476.5;994.25;278.75;0.25;1,115.5
Jan 1, 2017;6:45 AM;1,177;280.75;778.75;3,241.5;0;26.5;1,628.5;3,481.25;1,007.75;276.75;0.25;1,101.5
Jan 1, 2017;7:00 AM;1,179.5;278.5;754.75;3,280.75;0;26.5;1,628.75;3,436.75;997;281.5;0;1,119.25
Jan 1, 2017;7:15 AM;1,179.75;278;724.25;3,216.25;0.25;26.5;1,628.25;3,425;1,002;285.5;0.25;1,103.75
Jan 1, 2017;7:30 AM;1,179.25;277;711;3,247.75;0.25;26.5;1,628.75;3,428;1,006;285.75;0.25;1,041.75
Jan 1, 2017;7:45 AM;1,178.5;277;693.25;3,274.5;0.25;26.5;1,628.5;3,418;1,010.5;288.5;0.25;1,099
Jan 1, 2017;8:00 AM;1,180.25;274.25;690.5;3,265;5;26.5;1,627.75;3,377;1,015.75;288;27.75;1,158.25
Jan 1, 2017;8:15 AM;1,180.5;273.75;667.75;3,282.75;22;26.5;1,628;3,371;971.25;289;44;1,136.5
Jan 1, 2017;8:30 AM;1,182.25;273.5;649.25;3,294;73.25;26.5;1,629.5;3,378.75;969.5;288.75;25.25;1,187.5
