Date;Time of day;Total[MWh]
Jan 1, 2017;12:00 AM;10,060.25
Jan 1, 2017;12:15 AM;9,951.25
Jan 1, 2017;12:30 AM;9,755.75
Jan 1, 2017;12:45 AM;9,670.5
Jan 1, 2017;1:00 AM;9,540.5
Jan 1, 2017;1:15 AM;9,436
Jan 1, 2017;1:30 AM;9,401
Jan 1, 2017;1:45 AM;9,307.25
Jan 1, 2017;2:00 AM;9,247.25
Jan 1, 2017;2:15 AM;9,259
Jan 1, 2017;2:30 AM;9,218.5
Jan 1, 2017;2:45 AM;9,116.25
Jan 1, 2017;3:00 AM;9,126.75
Jan 1, 2017;3:15 AM;9,174.5
Jan 1, 2017;3:30 AM;9,186.5
Jan 1, 2017;3:45 AM;9,189.5
Jan 1, 2017;4:00 AM;9,221
Jan 1, 2017;4:15 AM;9,224.25
Jan 1, 2017;4:30 AM;9,120.5
Jan 1, 2017;4:45 AM;9,190.25
Jan 1, 2017;5:00 AM;9,241
Jan 1, 2017;5:15 AM;9,077
Jan 1, 2017;5:30 AM;9,054.5
Jan 1, 2017;5:45 AM;8,894.75
Jan 1, 2017;6:00 AM;8,814
Jan 1, 2017;6:15 AM;8,712.75
Jan 1, 2017;6:30 AM;8,741.75
Jan 1, 2017;6:45 AM;8,593.5
Jan 1, 2017;7:00 AM;9,050
Jan 1, 2017;7:15 AM;9,186.75
Jan 1, 2017;7:30 AM;9,169.75
Jan 1, 2017;7:45 AM;9,331.75
Jan 1, 2017;8:00 AM;9,752.75
Jan 1, 2017;8:15 AM;9,920.5
Jan 1, 2017;8:30 AM;9,942.25
Jan 1, 2017;8:45 AM;10,186.75
Jan 1, 2017;9:00 AM;10,523
Jan 1, 2017;9:15 AM;10,691.5
Jan 1, 2017;9:30 AM;10,861.5
Jan 1, 2017;9:45 AM;11,048.25
Jan 1, 2017;10:00 AM;11,120.25
Jan 1, 2017;10:15 AM;11,554
Jan 1, 2017;10:30 AM;11,531.5
Jan 1, 2017;10:45 AM;11,827
Jan 1, 2017;11:00 AM;11,859.5
Jan 1, 2017;11:15 AM;12,023.25
Jan 1, 2017;11:30 AM;12,159.75
Jan 1, 2017;11:45 AM;12,283.25
Jan 1, 2017;12:00 PM;12,242
Jan 1, 2017;12:15 PM;12,216.25
Jan 1, 2017;12:30 PM;12,116.5
Jan 1, 2017;12:45 PM;11,961.5
Jan 1, 2017;1:00 PM;11,850.75
Jan 1, 2017;1:15 PM;11,780.5
Jan 1, 2017;1:30 PM;11,633.75
Jan 1, 2017;1:45 PM;11,568
Jan 1, 2017;2:00 PM;11,491.25
Jan 1, 2017;2:15 PM;11,355.75
Jan 1, 2017;2:30 PM;11,722.5
Jan 1, 2017;2:45 PM;11,301.5
Jan 1, 2017;3:00 PM;11,526.25
Jan 1, 2017;3:15 PM;11,411.25
Jan 1, 2017;3:30 PM;11,374
Jan 1, 2017;3:45 PM;11,602
Jan 1, 2017;4:00 PM;11,637
Jan 1, 2017;4:15 PM;11,825.25
Jan 1, 2017;4:30 PM;12,200
Jan 1, 2017;4:45 PM;12,182.5
Jan 1, 2017;5:00 PM;12,587
Jan 1, 2017;5:15 PM;12,680.5
Jan 1, 2017;5:30 PM;12,946
Jan 1, 2017;5:45 PM;12,751.25
Jan 1, 2017;6:00 PM;12,661.75
Jan 1, 2017;6:15 PM;12,913.5
Jan 1, 2017;6:30 PM;12,840.5
Jan 1, 2017;6:45 PM;12,685.5
Jan 1, 2017;7:00 PM;12,903
Jan 1, 2017;7:15 PM;12,709.75
Jan 1, 2017;7:30 PM;12,516.75
Jan 1, 2017;7:45 PM;12,564.75
Jan 1, 2017;8:00 PM;12,454.5
Jan 1, 2017;8:15 PM;12,338.25
Jan 1, 2017;8:30 PM;12,136
Jan 1, 2017;8:45 PM;12,015
Jan 1, 2017;9:00 PM;11,868.75
Jan 1, 2017;9:15 PM;11,852.75
Jan 1, 2017;9:30 PM;12,060.5
Jan 1, 2017;9:45 PM;11,909.5
Jan 1, 2017;10:00 PM;12,085.75
Jan 1, 2017;10:15 PM;12,054.5
Jan 1, 2017;10:30 PM;11,730.75
Jan 1, 2017;10:45 PM;11,503.5
Jan 1, 2017;11:00 PM;11,291
Jan 1, 2017;11:15 PM;11,211.5
Jan 1, 2017;11:30 PM;10,819.5
Jan 1, 2017;11:45 PM;10,639.25
Jan 2, 2017;12:00 AM;10,355.5
Jan 2, 2017;12:15 AM;10,243.25
Jan 2, 2017;12:30 AM;10,168.5
Jan 2, 2017;12:45 AM;10,024
Jan 2, 2017;1:00 AM;10,175
Jan 2, 2017;1:15 AM;9,901.25
Jan 2, 2017;1:30 AM;9,893.5
Jan 2, 2017;1:45 AM;9,819.5
Jan 2, 2017;2:00 AM;9,863.5
Jan 2, 2017;2:15 AM;9,844.5
Jan 2, 2017;2:30 AM;9,800.25
Jan 2, 2017;2:45 AM;9,784.5
Jan 2, 2017;3:00 AM;9,869.75
Jan 2, 2017;3:15 AM;9,911
Jan 2, 2017;3:30 AM;9,877.25
Jan 2, 2017;3:45 AM;9,914.75
Jan 2, 2017;4:00 AM;10,038.75
Jan 2, 2017;4:15 AM;10,199.25
Jan 2, 2017;4:30 AM;10,210.5
Jan 2, 2017;4:45 AM;10,339.75
Jan 2, 2017;5:00 AM;10,576.25
Jan 2, 2017;5:15 AM;10,716.25
Jan 2, 2017;5:30 AM;10,936.5
Jan 2, 2017;5:45 AM;11,250
Jan 2, 2017;6:00 AM;11,946.25
Jan 2, 2017;6:15 AM;12,458.25
Jan 2, 2017;6:30 AM;12,808.25
Jan 2, 2017;6:45 AM;13,216.5
Jan 2, 2017;7:00 AM;13,594.25
Jan 2, 2017;7:15 AM;13,868.75
Jan 2, 2017;7:30 AM;14,419.75
Jan 2, 2017;7:45 AM;14,529.25
Jan 2, 2017;8:00 AM;14,594.5
Jan 2, 2017;8:15 AM;14,729.75
Jan 2, 2017;8:30 AM;14,995.75
Jan 2, 2017;8:45 AM;15,071
Jan 2, 2017;9:00 AM;15,030.5
Jan 2, 2017;9:15 AM;15,297.75
Jan 2, 2017;9:30 AM;15,422
Jan 2, 2017;9:45 AM;15,438
Jan 2, 2017;10:00 AM;15,628
Jan 2, 2017;10:15 AM;15,741
Jan 2, 2017;10:30 AM;15,792
Jan 2, 2017;10:45 AM;15,907.5
Jan 2, 2017;11:00 AM;16,052.25
Jan 2, 2017;11:15 AM;16,078.75
Jan 2, 2017;11:30 AM;16,165.75
Jan 2, 2017;11:45 AM;16,268
