Date;Time of day;Total[MWh];Wind offshore[MWh];Wind onshore[MWh];Photovoltaics[MWh];Other[MWh]
Jan 1, 2017;12:00 AM;52,628;835;3,241.5;0;36,392.75
Jan 1, 2017;12:15 AM;-;834.5;3,229;0;-
Jan 1, 2017;12:30 AM;-;834.75;3,218.25;0;-
Jan 1, 2017;12:45 AM;-;834.75;3,207.5;0;-
Jan 1, 2017;1:00 AM;51,289;842.5;3,078.75;0;35,696
Jan 1, 2017;1:15 AM;-;842.5;3,068;0;-
Jan 1, 2017;1:30 AM;-;841.75;3,065.75;0;-
Jan 1, 2017;1:45 AM;-;841.5;3,012.25;0;-
Jan 1, 2017;2:00 AM;50,775;841;3,009.5;0;35,448.25
Jan 1, 2017;2:15 AM;-;841;2,991.75;0;-
Jan 1, 2017;2:30 AM;-;841;2,982.25;0;-
Jan 1, 2017;2:45 AM;-;841;2,979.25;0;-
Jan 1, 2017;3:00 AM;50,710;840.75;2,972.25;0;35,490.75
Jan 1, 2017;3:15 AM;-;839.75;2,963.25;0;-
Jan 1, 2017;3:30 AM;-;839;2,954.75;0;-
Jan 1, 2017;3:45 AM;-;838.25;2,971.25;0;-
Jan 1, 2017;4:00 AM;50,194;826.25;2,991;0;34,918.75
Jan 1, 2017;4:15 AM;-;826.25;2,995;0;-
Jan 1, 2017;4:30 AM;-;826.75;2,995.75;0;-
Jan 1, 2017;4:45 AM;-;826.5;2,987.75;0;-
Jan 1, 2017;5:00 AM;49,831;826.75;2,984.75;0;34,525.25
Jan 1, 2017;5:15 AM;-;825.5;2,995.75;0;-
Jan 1, 2017;5:30 AM;-;825;3,007.75;0;-
Jan 1, 2017;5:45 AM;-;824.75;3,015.5;0;-
Jan 1, 2017;6:00 AM;49,539;823;3,013.75;0;34,172.5
Jan 1, 2017;6:15 AM;-;825.25;3,040.75;0;-
Jan 1, 2017;6:30 AM;-;826;3,005.25;0;-
Jan 1, 2017;6:45 AM;-;824.75;3,007.75;0;-
Jan 1, 2017;7:00 AM;50,427;823.25;3,031.75;0;34,814.25
Jan 1, 2017;7:15 AM;-;796.5;3,117;0.25;-
Jan 1, 2017;7:30 AM;-;765;3,157.5;1;-
Jan 1, 2017;7:45 AM;-;733;3,186;1.5;-
Jan 1, 2017;8:00 AM;52,399;701.75;3,237.25;10;36,097
Jan 1, 2017;8:15 AM;-;705.5;3,266.25;41.25;-
Jan 1, 2017;8:30 AM;-;708.5;3,300.25;117.25;-
Jan 1, 2017;8:45 AM;-;711.75;3,267.75;234.5;-
Jan 1, 2017;9:00 AM;57,494;716.75;3,344;383.5;38,724.5
Jan 1, 2017;9:15 AM;-;709.25;3,354;538.5;-
Jan 1, 2017;9:30 AM;-;702.75;3,362.75;708.75;-
Jan 1, 2017;9:45 AM;-;694.25;3,373.75;881.25;-
Jan 1, 2017;10:00 AM;62,254;621;3,439;1,054.75;41,242.25
Jan 1, 2017;10:15 AM;-;604.75;3,395;1,211.75;-
Jan 1, 2017;10:30 AM;-;585.75;3,353.75;1,364;-
Jan 1, 2017;10:45 AM;-;567.75;3,309.75;1,504.5;-
Jan 1, 2017;11:00 AM;66,227;550;3,262.5;1,625.25;44,385.75
Jan 1, 2017;11:15 AM;-;524.5;3,213.75;1,725.5;-
Jan 1, 2017;11:30 AM;-;501.5;3,162.5;1,811;-
Jan 1, 2017;11:45 AM;-;478;3,110.25;1,876.5;-
Jan 1, 2017;12:00 PM;66,869;460.75;3,058.75;1,919;45,425.75
Jan 1, 2017;12:15 PM;-;450;3,014;1,937;-
Jan 1, 2017;12:30 PM;-;440;2,967.5;1,933.25;-
Jan 1, 2017;12:45 PM;-;429.75;2,922.75;1,910.5;-
Jan 1, 2017;1:00 PM;64,016;418.25;2,883;1,862;44,054
Jan 1, 2017;1:15 PM;-;408.25;2,872;1,784.25;-
Jan 1, 2017;1:30 PM;-;398.5;2,860.5;1,679.75;-
Jan 1, 2017;1:45 PM;-;388.25;2,849.5;1,557.75;-
Jan 1, 2017;2:00 PM;59,029;376;2,856.25;1,417.5;41,447.5
Jan 1, 2017;2:15 PM;-;371;2,855.75;1,262;-
Jan 1, 2017;2:30 PM;-;364;2,856.5;1,094.25;-
Jan 1, 2017;2:45 PM;-;357;2,856.25;915;-
Jan 1, 2017;3:00 PM;55,246;353;2,858.75;731.25;40,436.75
Jan 1, 2017;3:15 PM;-;348;2,879.75;547.75;-
Jan 1, 2017;3:30 PM;-;345;2,897.75;376;-
Jan 1, 2017;3:45 PM;-;339.75;2,918.25;214;-
