Date;Time of day;Volume of activated balancing services (+)[MWh];Volume of activated balancing services (-)[MWh];Price of activated balancing services (+)[Euro/MWh];Price of activated balancing services (-)[Euro/MWh];Volume of procured balancing services (+)[MW];Volume of procured balancing services (-)[MW];Price of procured balancing services (+)[Euro/MW];Price of procured balancing services (-)[Euro/MW]
Jan 1, 2017;12:00 AM;0;0;0;0;1,850;1,800;0;22.44
Jan 1, 2017;12:15 AM;0;0;0;0;1,850;1,800;0;22.44
Jan 1, 2017;12:30 AM;0;0;0;0;1,850;1,800;0;22.44
Jan 1, 2017;12:45 AM;0;0;0;0;1,850;1,800;0;22.44
Jan 1, 2017;1:00 AM;0;0;0;0;1,850;1,800;0;22.44
Jan 1, 2017;1:15 AM;0;0;0;0;1,850;1,800;0;22.44
Jan 1, 2017;1:30 AM;0;0;0;0;1,850;1,800;0;22.44
Jan 1, 2017;1:45 AM;0;0;0;0;1,850;1,800;0;22.44
Jan 1, 2017;2:00 AM;0;0;0;0;1,850;1,800;0;22.44
Jan 1, 2017;2:15 AM;0;0;0;0;1,850;1,800;0;22.44
Jan 1, 2017;2:30 AM;0;0;0;0;1,850;1,800;0;22.44
Jan 1, 2017;2:45 AM;0;0;0;0;1,850;1,800;0;22.44
Jan 1, 2017;3:00 AM;0;0;0;0;1,850;1,800;0;22.44
Jan 1, 2017;3:15 AM;0;0;0;0;1,850;1,800;0;22.44
Jan 1, 2017;3:30 AM;0;0;0;0;1,850;1,800;0;22.44
Jan 1, 2017;3:45 AM;0;0;0;0;1,850;1,800;0;22.44
Jan 1, 2017;4:00 AM;0;0;0;0;1,850;1,800;0;22.7
Jan 1, 2017;4:15 AM;0;0;0;0;1,850;1,800;0;22.7
Jan 1, 2017;4:30 AM;0;0;0;0;1,850;1,800;0;22.7
Jan 1, 2017;4:45 AM;0;0;0;0;1,850;1,800;0;22.7
Jan 1, 2017;5:00 AM;0;0;0;0;1,850;1,800;0;22.7
Jan 1, 2017;5:15 AM;0;0;0;0;1,850;1,800;0;22.7
Jan 1, 2017;5:30 AM;0;0;0;0;1,850;1,800;0;22.7
Jan 1, 2017;5:45 AM;0;0;0;0;1,850;1,800;0;22.7
Jan 1, 2017;6:00 AM;0;0;0;0;1,850;1,800;0;22.7
Jan 1, 2017;6:15 AM;0;0;0;0;1,850;1,800;0;22.7
Jan 1, 2017;6:30 AM;0;0;0;0;1,850;1,800;0;22.7
Jan 1, 2017;6:45 AM;0;0;0;0;1,850;1,800;0;22.7
Jan 1, 2017;7:00 AM;0;0;0;0;1,850;1,800;0;22.7
Jan 1, 2017;7:15 AM;0;0;0;0;1,850;1,800;0;22.7
Jan 1, 2017;7:30 AM;0;0;0;0;1,850;1,800;0;22.7
Jan 1, 2017;7:45 AM;0;0;0;0;1,850;1,800;0;22.7
Jan 1, 2017;8:00 AM;0;0;0;0;1,850;1,800;0;10.59
Jan 1, 2017;8:15 AM;0;0;0;0;1,850;1,800;0;10.59
Jan 1, 2017;8:30 AM;0;0;0;0;1,850;1,800;0;10.59
Jan 1, 2017;8:45 AM;0;0;0;0;1,850;1,800;0;10.59
Jan 1, 2017;9:00 AM;0;0;0;0;1,850;1,800;0;10.59
Jan 1, 2017;9:15 AM;0;0;0;0;1,850;1,800;0;10.59
Jan 1, 2017;9:30 AM;0;0;0;0;1,850;1,800;0;10.59
Jan 1, 2017;9:45 AM;0;0;0;0;1,850;1,800;0;10.59
Jan 1, 2017;10:00 AM;0;0;0;0;1,850;1,800;0;10.59
Jan 1, 2017;10:15 AM;0;0;0;0;1,850;1,800;0;10.59
Jan 1, 2017;10:30 AM;0;0;0;0;1,850;1,800;0;10.59
Jan 1, 2017;10:45 AM;0;0;0;0;1,850;1,800;0;10.59
Jan 1, 2017;11:00 AM;0;0;0;0;1,850;1,800;0;10.59
Jan 1, 2017;11:15 AM;0;0;0;0;1,850;1,800;0;10.59
Jan 1, 2017;11:30 AM;0;0;0;0;1,850;1,800;0;10.59
Jan 1, 2017;11:45 AM;0;0;0;0;1,850;1,800;0;10.59
Jan 1, 2017;12:00 PM;0;0;0;0;1,850;1,800;0;10.52
Jan 1, 2017;12:15 PM;0;0;0;0;1,850;1,800;0;10.52
Jan 1, 2017;12:30 PM;0;0;0;0;1,850;1,800;0;10.52
Jan 1, 2017;12:45 PM;0;0;0;0;1,850;1,800;0;10.52
Jan 1, 2017;1:00 PM;0;0;0;0;1,850;1,800;0;10.52
Jan 1, 2017;1:15 PM;0;0;0;0;1,850;1,800;0;10.52
Jan 1, 2017;1:30 PM;0;0;0;0;1,850;1,800;0;10.52
Jan 1, 2017;1:45 PM;0;0;0;0;1,850;1,800;0;10.52
Jan 1, 2017;2:00 PM;0;0;0;0;1,850;1,800;0;10.52
Jan 1, 2017;2:15 PM;0;0;0;0;1,850;1,800;0;10.52
Jan 1, 2017;2:30 PM;0;0;0;0;1,850;1,800;0;10.52
Jan 1, 2017;2:45 PM;0;0;0;0;1,850;1,800;0;10.52
Jan 1, 2017;3:00 PM;0;0;0;0;1,850;1,800;0;10.52
Jan 1, 2017;3:15 PM;0;0;0;0;1,850;1,800;0;10.52
Jan 1, 2017;3:30 PM;0;0;0;0;1,850;1,800;0;10.52
Jan 1, 2017;3:45 PM;0;0;0;0;1,850;1,800;0;10.52
Jan 1, 2017;4:00 PM;0;0;0;0;1,850;1,800;0;6.53
Jan 1, 2017;4:15 PM;0;0;0;0;1,850;1,800;0;6.53
Jan 1, 2017;4:30 PM;0;0;0;0;1,850;1,800;0;6.53
Jan 1, 2017;4:45 PM;0;0;0;0;1,850;1,800;0;6.53
Jan 1, 2017;5:00 PM;0;0;0;0;1,850;1,800;0;6.53
Jan 1, 2017;5:15 PM;0;0;0;0;1,850;1,800;0;6.53
Jan 1, 2017;5:30 PM;125;0;111.48;0;1,850;1,800;0;6.53
Jan 1, 2017;5:45 PM;125;0;111.48;0;1,850;1,800;0;6.53
Jan 1, 2017;6:00 PM;0;0;0;0;1,850;1,800;0;6.53
Jan 1, 2017;6:15 PM;0;0;0;0;1,850;1,800;0;6.53
Jan 1, 2017;6:30 PM;0;0;0;0;1,850;1,800;0;6.53
Jan 1, 2017;6:45 PM;0;0;0;0;1,850;1,800;0;6.53
