"","x"
"1",20.96
"2",20.9
"3",18.13
"4",16.03
"5",16.43
"6",13.75
"7",11.1
"8",15.47
"9",16.88
"10",21.81
"11",26.24
"12",26.42
"13",27.66
"14",28.7
"15",29.66
"16",35.33
"17",44.12
"18",51.59
"19",53.95
"20",50.97
"21",44.93
"22",38.83
"23",42.17
"24",33.06
"25",30.54
"26",28.91
"27",28.11
"28",27.89
"29",27.73
"30",31.18
"31",37.99
"32",50.98
"33",53.88
"34",53.94
"35",53.54
"36",54.91
"37",54.08
"38",55.67
"39",55.98
"40",56
"41",57.77
"42",67.66
"43",55.1
"44",53.92
"45",49.07
"46",40.25
"47",45.92
"48",38.88
"49",36.02
"50",34.98
"51",33.64
"52",33.89
"53",33.5
"54",33.91
"55",48.13
"56",54.61
"57",57.93
"58",57.18
"59",52.27
"60",49.94
"61",46.3
"62",41.51
"63",37.08
"64",37.03
"65",39.08
"66",42.14
"67",36.67
"68",36.03
"69",33.55
"70",24.56
"71",17.77
"72",9.49
"73",8.5
"74",-0.05
"75",-6.27
"76",-5.09
"77",0.06
"78",10.55
"79",10.98
"80",31.63
"81",34.94
"82",33.27
"83",33.52
"84",34.81
"85",35.08
"86",35.88
"87",36.03
"88",36.17
"89",36.58
"90",46.95
"91",49.45
"92",48.37
"93",38.02
"94",34.55
"95",33.33
"96",32.05
"97",36.07
"98",36.32
"99",30.99
"100",30.97
"101",35.64
"102",35.73
"103",39.03
"104",51.7
"105",57.98
"106",54.11
"107",53.13
"108",50.06
"109",49.97
"110",48.84
"111",50.99
"112",57.48
"113",69.7
"114",73.92
"115",73.76
"116",65.15
"117",64.24
"118",43.09
"119",53.11
"120",37.08
"121",40.84
"122",41.15
"123",43.77
"124",39.97
"125",40.81
"126",43.04
"127",45.37
"128",49.49
"129",59.92
"130",60
"131",60.04
"132",57.7
"133",52.86
"134",50.05
"135",50.94
"136",54.04
"137",57.52
"138",64.91
"139",59.92
"140",57.99
"141",43.68
"142",38.46
"143",40.94
"144",35.89
"145",36.83
"146",34.37
"147",33.84
"148",33.83
"149",33.62
"150",32.96
"151",30.07
"152",33.58
"153",36.02
"154",36.86
"155",36.43
"156",39.01
"157",39.5
"158",39.02
"159",38.6
"160",39.28
"161",46.95
"162",57.01
"163",54.02
"164",46.92
"165",38.12
"166",35.09
"167",38.1
"168",34.53
"169",33.86
"170",34.14
"171",33.96
"172",35.01
"173",36.07
"174",36.07
"175",36.01
"176",35.37
"177",37.29
"178",39.15
