C,SETP.WORLD,BILLING_AS_PAYMENTS_SUMMARY,AEMO,PUBLIC,2018/01/11,07:18:32,0000000290949890,,0000000290949886
I,BILLING,ASPAYMENT_SUMMARY,1,BILLING_WEEK,STATUS,REGIONID,LOWER6SEC,LOWER60SEC,LOWER5MIN,LOWERREG,RAISE6SEC,RAISE60SEC,RAISE5MIN,RAISEREG,RESTART,REACTIVE,LOADSHED,TOTAL_AS_PAYMENT
D,BILLING,ASPAYMENT_SUMMARY,1,2017Wk01,REVISE2,NSW1,78.383740,424.813690,2041.244060,156920.756670,113719.604490,42790.585820,61546.618590,81222.561310,68080.32,194839.68,0,721664.568370
D,BILLING,ASPAYMENT_SUMMARY,1,2017Wk01,REVISE2,QLD1,0,0,4.014660,58395.637210,68108.962120,32970.522460,66293.192060,107600.3747,60208.66,0,0,393581.363210
D,BILLING,ASPAYMENT_SUMMARY,1,2017Wk01,REVISE2,SA1,0.0750,81.427990,0,12227.1210,28896.639840,24558.897760,6669.406050,18376.810640,34043.52,0,0,124853.898280
D,BILLING,ASPAYMENT_SUMMARY,1,2017Wk01,REVISE2,TAS1,21.607430,41.889340,70.707310,11863.630160,138906.9956,37376.651580,5066.012920,163477.907280,63315.84,0,0,420141.241620
D,BILLING,ASPAYMENT_SUMMARY,1,2017Wk01,REVISE2,VIC1,269.687640,1161.876350,3337.371770,117430.600290,101399.112450,57371.703620,32426.895540,53517.300630,170791.20,0,0,537705.748290
D,BILLING,ASPAYMENT_SUMMARY,1,2017Wk02,REVISE2,NSW1,46.678230,178.262250,1277.373590,131737.0952,47681.279730,22599.4455,53359.136420,85225.898560,68080.32,194839.68,0,605025.169480
D,BILLING,ASPAYMENT_SUMMARY,1,2017Wk02,REVISE2,QLD1,0,0,0,45739.432970,19376.252570,9486.862620,35393.040880,84937.930660,60312,0,0,255245.5197
D,BILLING,ASPAYMENT_SUMMARY,1,2017Wk02,REVISE2,SA1,0,31.413010,0,6395.748980,9553.413980,8223.665310,5771.644670,19363.910830,34043.52,0,0,83383.316780
D,BILLING,ASPAYMENT_SUMMARY,1,2017Wk02,REVISE2,TAS1,17.412490,40.600810,58.285720,6572.612450,301234.940840,38144.247930,16019.056710,81786.2958,63315.84,0,0,507189.292750
D,BILLING,ASPAYMENT_SUMMARY,1,2017Wk02,REVISE2,VIC1,131.441490,532.569240,2081.002340,52113.169560,30953.773340,20274.078330,17689.609980,29139.235810,171716.16,0,0,324631.040090
D,BILLING,ASPAYMENT_SUMMARY,1,2017Wk03,REVISE2,NSW1,59.002910,266.881510,1645.023080,172033.452890,38563.294360,21099.940930,54456.512830,147953.216530,68080.32,194839.68,0,698997.325040
D,BILLING,ASPAYMENT_SUMMARY,1,2017Wk03,REVISE2,QLD1,0,0,2.333330,46051.710730,16556.310780,9059.075570,38876.1288,123821.759610,60312,0,0,294679.318820
D,BILLING,ASPAYMENT_SUMMARY,1,2017Wk03,REVISE2,SA1,0.603950,56.375450,1.359690,12157.804680,7980.812450,7351.998080,5899.555870,33992.927720,33080.98,0,0,100522.417890
D,BILLING,ASPAYMENT_SUMMARY,1,2017Wk03,REVISE2,TAS1,20.255330,44.173570,28.550740,10188.042850,246760.662320,33678.724630,13088.574090,121211.940960,63315.84,0,0,488336.764490
D,BILLING,ASPAYMENT_SUMMARY,1,2017Wk03,REVISE2,VIC1,167.7311,673.532720,2630.886330,63657.539010,20382.717090,12806.350990,15558.285930,46225.9641,171716.16,0,0,333819.167270
