C,SETP.WORLD,BILLING_AS_RECOVERY_SUMMARY,AEMO,PUBLIC,2017/07/27,13:43:08,0000000285825151,,0000000285825146
I,BILLING,ASRECOVERY_SUMMARY,1,BILLING_WEEK,STATUS,REGIONID,LOWER6SEC,LOWER60SEC,LOWER5MIN,LOWERREG,RAISE6SEC,RAISE60SEC,RAISE5MIN,RAISEREG,RESTART,REACTIVE,LOADSHED,TOTAL_CUSTOMER_RECOVERY,TOTAL_GENERATOR_RECOVERY,ENERGY_CUSTOMER,ENERGY_GENERATOR,RECOVERY_RATE_CUSTOMER,RECOVERY_RATE_GENERATOR
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk01,REVISE2,NSW1,-169.311570,-1014.328350,-9068.013320,-8286.820204,-78117.243550,-46271.3929,-22002.891227,-5982.799344,-143892.000010,-192319.679990,0,-282242.750620,-224881.729845,-1070726.553875,882068.860184,-0.2635992818134123815020996926,-0.2549480431698830860628517281
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk01,REVISE2,QLD1,-145.652490,-876.937520,-7774.539350,-5448.128670,-93723.012650,-56008.203520,-25968.912328,-3802.373503,-59532.48,0,0,-44343.044460,-208937.195571,-905858.105256,1017371.337790,-0.0489514242933979548385120686,-0.2053696500088816405223567881
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk01,REVISE2,SA1,-35.732240,-213.864730,-1994.760970,-3707.885511,-17143.098140,-10248.184850,-5001.944669,-4170.040429,-39197.200050,0,0,-23585.006840,-58127.704749,-238272.851693,200195.202441,-0.0989831895342732506807862775,-0.2903551335908309435230298571
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk01,REVISE2,TAS1,-3697.634790,-6933.0645,-5390.504570,-17025.696041,-121832.467530,-11016.119430,-21247.567262,-34394.516793,-62496.000010,0,0,-63939.706290,-220093.864636,-181445.902881,186459.945516,-0.3523899149816262309478187638,-1.18038147027729285953032370
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk01,REVISE2,VIC1,-106.51,-635.1311,-5864.769430,-5661.808852,-85002.541750,-50506.727910,-23475.301033,-4273.435497,-92803.199990,0,0,-57663.893630,-210665.531932,-710985.007228,918044.808219,-0.0811042329216208561960160220,-0.2294719495671344650149119433
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk02,REVISE2,NSW1,-206.982820,-1174.002450,-16596.381340,-5286.230827,-54159.406720,-47888.987930,-22339.611962,-4587.419636,-143891.999970,-192319.679960,0,-286949.987030,-201500.716585,-1148407.742731,1062081.734629,-0.2498676875406737900655562277,-0.1897224196736487683774391366
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk02,REVISE2,QLD1,-179.034420,-1013.483450,-14527.190680,-4025.761936,-54508.176820,-48389.354120,-21883.747201,-3485.020467,-59532.480020,0,0,-49326.227890,-158218.021224,-982565.679286,1016551.286371,-0.0502014561773049509632737579,-0.1556419467913169682817374398
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk02,REVISE2,SA1,-43.200140,-244.611980,-3506.026270,-1713.977519,-10848.2522,-9620.625020,-4267.505346,-1751.020695,-39547.200040,0,0,-24612.342970,-46930.076240,-235182.156088,198044.812867,-0.1046522549984217406363894666,-0.2369669549058909460177757638
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk02,REVISE2,TAS1,-4111.271950,-7500.822290,-5418.001450,-17487.325541,-86521.012820,-9097.695150,-9678.170789,-46675.984540,-62496.000010,0,0,-67135.531740,-181850.7528,-181570.976655,186538.076187,-0.3697481446473855229811755951,-0.9748720289025546215841868432
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk02,REVISE2,VIC1,-124.594060,-708.103340,-10054.499560,-3751.390239,-47204.4849,-42009.953020,-18944.862270,-3262.514970,-92803.20,0,0,-60161.113090,-158702.489269,-701606.367287,881858.885189,-0.0857476726196676860518789649,-0.1799635882049165744123230866
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk03,REVISE2,NSW1,-125.906450,-767.7567,-17690.692990,-9630.332713,-53665.095250,-45572.846840,-47666.007151,-54465.235289,-125692.000060,-192319.679980,0,-305785.429740,-241810.123683,-1321375.607792,1199151.837747,-0.2314144653017798167065682673,-0.2016509636822302846785981926
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk03,REVISE2,QLD1,-107.3254,-652.7286,-14709.215910,-7232.979024,-54161.4956,-45595.858350,-42435.724438,-36588.675088,-59532.479990,0,0,-66281.1674,-194735.3150,-1037025.444733,1102956.129337,-0.0639146973072249198099753990,-0.1765576252947229239030579562
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk03,REVISE2,SA1,-26.054860,-157.589310,-3603.443090,-2922.905991,-11710.356310,-9807.040650,-9581.888505,-14952.171845,-39547.200010,0,0,-29265.502640,-63043.147931,-265136.835059,249023.550321,-0.1103788639307233452797583656,-0.2531613891526933660771659125
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk03,REVISE2,TAS1,-4012.366050,-7362.355150,-5394.581840,-18154.220258,-147510.269310,-9668.737480,-12192.067537,-59832.129360,-62496,0,0,-67161.325150,-259461.401835,-183070.370822,188184.376399,-0.3668607041567704330478750003,-1.37876165279988015866337286
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk03,REVISE2,VIC1,-75.976920,-463.0470,-10672.989670,-6760.984410,-45463.630610,-38419.203070,-37815.401692,-38550.9487,-92803.200010,0,0,-77226.394070,-193798.988012,-810014.418148,982840.124751,-0.0953395301858562097008170550,-0.1971826171231037923524467871
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk04,REVISE2,NSW1,-92.810340,-593.551240,-9510.860330,-4615.987890,-21966.1141,-19663.504010,-18609.026816,-6685.089195,-143891.999950,-192319.68,0,-279963.898950,-137984.724921,-1342607.620477,1239203.000812,-0.2085225010495134587418638963,-0.1113495729356563426462387920
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk04,REVISE2,QLD1,-76.209860,-486.034420,-7628.944330,-3400.720986,-23012.489130,-20531.422460,-17440.472493,-4725.251733,-59532.479980,0,0,-41962.943290,-94871.082102,-1026995.441063,1092798.867035,-0.0408599119452428275652391156,-0.0868147698207317806967257659
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk04,REVISE2,SA1,-19.467290,-123.484920,-2012.100440,-1495.099769,-4601.611630,-4167.499380,-3623.008703,-2253.226805,-39547.200010,0,0,-23136.586470,-34706.112477,-285129.136621,227852.506174,-0.0811442378151401136248594020,-0.1523183267095452140980144969
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk04,REVISE2,TAS1,-4984.168520,-6656.358470,-5448.978450,-17029.681681,-227412.843340,-11099.892680,-19970.709867,-34460.118017,-62495.999990,0,0,-62739.4038,-326819.347215,-184468.896118,188476.537214,-0.3401083061713949861323796920,-1.73400547381620678123628591
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk04,REVISE2,VIC1,-57.493740,-365.452310,-5937.2984,-3250.7717,-20929.611310,-18684.507240,-16258.725869,-4765.081644,-92803.200010,0,0,-56128.404910,-106923.737313,-837504.682027,1033802.327180,-0.0670186162710795416910646624,-0.1034276423082408329542448883
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk05,REVISE2,NSW1,-122.451790,-772.009330,-8781.177060,-10450.017868,-19564.272270,-24173.481960,-15644.161429,-4682.031450,-143892.000030,-192319.679980,0,-281236.795160,-139164.488007,-1249613.489958,1140957.234852,-0.2250590261869311918998658617,-0.1219716951311078814267775482
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk05,REVISE2,QLD1,-105.259090,-662.902740,-7525.353190,-7940.039015,-18934.061390,-23123.473050,-14868.445719,-3526.849622,-59532.479990,0,0,-43959.4330,-92259.430806,-1054477.736717,1075205.892798,-0.0416883462488860511508691553,-0.0858062920078627870630432668
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk05,REVISE2,SA1,-22.775140,-142.806630,-1650.097260,-3195.765622,-4008.414410,-4895.526640,-3093.035121,-1428.658765,-39547.199970,0,0,-23041.168820,-34943.110738,-225367.388377,221038.319050,-0.1022382563241855443866707536,-0.1580862127805798657063212949
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk05,REVISE2,TAS1,-35333.2211,-6474.764940,-5469.121720,-25983.032451,-103838.773190,-12018.246780,-24277.793769,-15113.734420,-62496.000010,0,0,-89800.230620,-201204.457760,-180163.853451,183910.947674,-0.4984364449355174666145801319,-1.09403197745821213781888154
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk05,REVISE2,VIC1,-72.069830,-454.373990,-5217.982530,-7316.525166,-16230.656070,-19652.410740,-12934.234660,-3274.277378,-92803.199990,0,0,-56455.101710,-101500.628644,-743991.191569,936058.202227,-0.0758814114330333205445224695,-0.1084340999336550435087799221
