"","cost_o","cost_r","cost_d","cost_w","cost_m","cost_y"
"1",11912293857.4981,11948469548.235,7701957986.09772,7568816095.73166,7590735885.0586,6310539127.95983
"2",6637759354.4381,5800020925.41091,5050498680.55858,5009021887.03542,5008591341.52493,4782363334.21766
"3",8020121051.0934,7106869712.80795,4126904445.11678,4087249929.89751,4079510111.1294,3970140744.8784
"4",5224828595.82,4226662845.31733,3875048702.1416,3863219715.69428,3856947655.57898,3813690386.60635
"5",6942340801.7682,6747222728.86625,4340707503.41305,4310331433.91576,4301737754.89699,4204951749.80989
"6",6340739582.4197,6263315805.96599,6032268650.37735,6010923131.07063,6010987655.20703,5861431829.33015
"7",7669640092.6993,7612408051.36024,7488498318.05362,7468365648.0783,7469697136.43818,7344166657.10859
"8",6058545746.2157,6078221912.01133,5983127195.87617,5972254895.68656,5957590052.09005,6234255146.22069
"9",5715471086.4049,5418198611.82757,5083020419.92556,5045293068.71382,5050688086.74544,5051452031.0277
"10",8730425910.0805,8543965803.61209,7627381650.49177,7534941466.54491,7527118644.56473,6508886245.52545
