"","P_E_DA","E_DA","P_E_RT","E_RT_total","P_R_REG_a","P_R_REG_d","R_REG_a","R_REG_d","delta_REG_p","delta_REG_n"
"1",20.477209,74917,19.370768,1252.255,12.94652,19.118,198.7,183.1,0,0.0303238095238095
"2",19.423133,73001,16.453073,1086.963,6.62376,6.8094,196.5,183.1,0,0.661019047619048
"3",17.244261,71791,14.22046,538.199999999997,6.76,6.76,190.4,183.1,0,0.763574603174603
"4",17.047802,71383,14.58496,191.892000000007,5.0389,6.00896,190.4,183.1,0,0.422203174603175
"5",17.596576,71973,15.122876,-142.997000000003,4.5756,4.5756,191.2,183.1,0,0.484863492063492
"6",19.122908,73478,14.475466,-126.323000000004,12.97052,19.1694,263.5,220.8,0,0.346847619047619
"7",21.403117,77508,15.488898,-2092.705,12.91248,20.73876,312.5,197.5,0,0.0830309523809524
"8",22.582485,81091,1.072536,-3914.636,84.2508,91.26648,332.1,197.5,0,0.105461904761905
"9",23.351302,82679,7.248805,-4179.95600000001,59.8094,68.4335,276.2,220.7,0.160378571428571,0
"10",24.235039,85034,17.743423,-4218.575,16.5979,23.28604,265,220.8,0.0567119047619048,0
"11",24.260725,85499,20.024399,-2530.243,10.19988,10.54788,222.1,220.8,0,0.0278928571428571
"12",23.537255,84806,20.078892,-724.751999999993,6.792,7.152,222.1,220.8,0.0170571428571429,0
"13",22.840716,83193,20.636665,1197.643,9.75154,10.13854,222,220.7,0,0.0179547619047619
"14",22.156267,81875,20.072761,2028.716,8.82354,9.19503,220.7,218.3,0,0.03355
"15",21.872167,81058,17.969336,2328.541,9.64304,16.01248,220.8,218.1,0,0.0905571428571429
"16",21.989974,81171,18.265989,2462.512,5.56452,5.9508,220.8,218.3,0,0.0347071428571429
"17",24.492674,85569,20.697671,375.544999999998,6.02174,6.25136,254.1,218.5,0,0.136619047619048
"18",31.436666,93190,24.117358,-1000.36199999999,12.58716,18.4701,310.1,197.5,0,0.00859047619047619
"19",29.929033,94111,24.071876,-435.055999999997,5.5002,9.85319,310,197.5,0,0.0776595238095238
"20",28.3262,92817,25.151631,256.716,12.19344,19.59888,310,197.5,0,0.10652380952381
"21",27.284707,92025,22.285382,83.3819999999978,4.5054,7.4853,310,197.5,0,0.083747619047619
"22",26.050926,89438,23.519735,856.555999999997,20.0013,32.4075,212.5,218.2,0,0.0322333333333333
"23",23.188481,85982,20.320733,1109.95600000001,9.936,15.53328,209.4,218.2,0,0.396461904761905
"24",21.799321,81828,18.844477,1727.31200000001,16.8232,23.3206,208,218.2,0,0.138488095238095
"25",22.077482,80059,19.302389,2.18300000000454,8.57211,9.03495,129.1,180.7,0,0.42708253968254
"26",21.668277,77749,17.574694,187.356,8.34504,12.21828,128.3,180.7,0,0.177726984126984
"27",21.603881,76620,18.378988,236.866999999998,3.9865,4.233,129.3,180.7,0.0105904761904762,0
"28",21.626547,76774,18.9309,21.8279999999941,4.47972,4.73676,129.3,180.7,0,0.068384126984127
"29",21.599455,77298,17.285065,241.129000000001,5.43488,5.78864,129.4,180.7,0,0.194301587301587
"30",23.042994,80037,22.578421,-405.504000000001,11.38898,11.75276,188.3,219.1,0.0587738095238095,0
"31",25.749828,83976,21.552239,-1092.20299999999,12.7215,22.9383,281.3,195.5,0,0.0886738095238095
"32",30.01009,87925,22.239227,-1851.015,8.46937,10.42314,312.6,195.5,0,0.261238095238095
"33",31.148912,90024,27.041312,-2202.258,19.67078,20.05526,258.1,219.2,0,0.0204214285714286
"34",29.209631,91329,22.375543,-3364.16800000001,18.89915,31.74185,257.8,219.2,0,0.142292857142857
"35",29.1222,90355,20.957624,-2851.65300000001,7.443,7.443,151.4,219.1,0,0.152311904761905
"36",26.585231,88528,20.338337,-2303.929,4.80984,5.1954,151.9,219.2,0.00371666666666666,0
"37",24.968097,86066,17.87907,-1557.325,9.28638,9.99108,153.8,219.1,0,0.270338095238095
"38",23.272685,83965,14.709849,-1285.788,13.75228,14.42868,155.1,219.1,0,0.04185
"39",22.594098,82320,14.426795,-1045.663,9.72859,10.25725,157,219.2,0,0.152969047619048
"40",22.658633,82221,11.39448,-1158.24400000001,13.5456,14.1916,155.8,219.2,0,0.0708928571428571
"41",24.5513,85815,15.515442,-2292.649,11.85406,14.84123,246.6,218.9,0,0.0435738095238095
"42",33.0749,94829,22.526975,-4199.12699999999,4.2543,4.2543,295,195.5,0,0.073647619047619
"43",32.231215,95975,22.631605,-2055.159,3.04956,6.26596,297.1,191.8,0,0.394111904761905
"44",31.196447,94877,22.916016,-1001.53,2.314,5.3578,297.1,191.8,0,0.601721428571429
"45",29.97092,93675,22.110084,-447.364000000001,5.2065,5.58,297,191.8,0,0.18752619047619
"46",28.615916,91976,21.982943,-233.604999999996,11.007,17.9037,201,213.5,0,0.152345238095238
"47",25.276137,87601,20.138924,1272.557,7.9744,8.43275,134.6,213.5,0,0.136111904761905
"48",22.947015,83137,20.021035,1965.78999999999,10.5643,20.3543,133.3,213.1,0,0.29997619047619
"49",22.414757,79398,20.475634,2431.181,5.75232,6.23616,96.2,174.4,0.16695873015873,0
"50",21.736085,77234,17.02936,2335.364,5.9806,6.50845,93.9,174.4,0,0.125333333333333
"51",21.254424,76245,16.578035,2252.45600000001,6.4134,6.93,95.5,174.4,0,0.00318095238095238
"52",21.249205,76557,16.572242,1530.22500000001,5.4978,5.78765,94.9,174.4,0,0.00922222222222222
"53",21.515493,76732,17.658793,1838.34699999999,26.5869,33.24588,94.7,174.4,0,0.0608984126984127
"54",22.663584,78407,17.710921,1654.72199999999,6.4715,6.92988,153.1,213,0,0.00370476190476191
"55",24.130664,81512,18.343592,885.312000000005,7.58988,16.79448,233.9,187.5,0,0.345590476190476
"56",29.357143,85333,20.482671,-408.202999999994,8.22272,15.99488,265.2,187.5,0,0.178659523809524
"57",29.648975,86880,15.734297,-436.777000000002,20.14782,20.67737,208.9,213.1,0,0.156659523809524
"58",26.430313,87482,10.868453,-1588.341,58.1704,66.0024,210.8,213.1,0,0.00259523809523809
"59",24.699047,86147,14.998104,-1192.679,8.1606,8.7087,164.4,213,0,0.0796357142857143
"60",23.774963,84183,14.023171,-142.263000000006,10.16508,10.49394,166.1,213,0,0.0295666666666667
"61",23.844131,82962,17.554317,675.623000000007,6.1251,6.7065,166.6,213,0.0166928571428571,0
"62",23.25667,81691,18.610334,1270.81600000001,5.7768,6.4119,166.8,213,0,0.120919047619048
"63",23.315458,80657,16.069646,1895.102,6.5326,7.08796,170.1,213,0,0.112383333333333
"64",23.333677,81081,5.111893,1823.921,17.99172,18.2979,170.1,213.1,0,0.441835714285714
"65",24.438308,86420,16.875722,228.548999999999,9.82968,10.51512,247.7,212.7,0,0.282590476190476
"66",39.971442,97474,23.349589,-3418.87699999999,10.8273,19.907,304,187.5,0,0.0796428571428572
"67",34.235953,97663,24.315482,-835.235000000001,11.5326,23.2716,304.2,187.5,0,0.0580619047619048
"68",32.980549,96297,25.527449,461.551999999996,4.8461,9.99664,304.2,187.5,0,0.38265
"69",31.747864,95096,26.631486,639.282999999996,16.9695,26.4915,303.8,187.5,0,0.153509523809524
"70",27.948555,92079,21.219606,532.918999999994,9.84753,16.26204,214.7,212.9,0,0.216504761904762
"71",24.779707,87843,17.112766,714.756999999998,10.1766,10.68312,165.4,213,0,0.047247619047619
"72",23.617899,83196,17.444583,916.133000000002,9.1872,9.9267,164.6,213,0,0.0389
"73",23.936444,82222,16.722556,-1250.014,6.33192,7.02744,152.4,178.9,0,0.304895238095238
"74",22.914002,81080,16.384091,-1507.197,6.8838,7.392,151.5,178.9,0,0.0298634920634921
"75",22.942495,80675,15.009614,-1201.113,7.3254,7.7778,150.8,178.9,0,0.146073015873016
"76",23.718335,81589,14.602421,-1347.879,26.81868,32.98176,150.7,178.9,0.00923809523809524,0
"77",24.882519,84092,12.796656,-1154.99400000001,7.7517,8.27544,66.3,178.9,0,0.226806349206349
"78",30.444587,91497,17.461275,-2751.38400000001,17.2805,29.7075,174.3,215.9,0,0.275511904761905
"79",39.02082,102940,22.051642,-5025.61599999999,0.9594,0.9594,220.4,187.3,0,0.35457619047619
"80",46.363952,108719,22.320949,-5075.526,0.0765,0.0765,194.2,187.3,0,0.325169047619048
"81",40.437784,107684,22.524101,-3731.084,0.0085,0.0085,134.5,216,0,0.00328333333333333
"82",34.909469,106128,25.120244,-2742.255,0.24,0.24,134.3,216,0,0.0184785714285714
"83",35.641312,105241,25.31754,-2361.89,0.1785,0.1785,120.5,216,0.0228880952380952,0
"84",32.39547,104323,23.673634,-2178.997,7.65336,8.10304,202.8,216,0,0.271792857142857
"85",29.909901,102371,24.806184,-779.320999999996,18.96426,28.83528,220.2,215.7,0.0949142857142857,0
"86",29.13116,101539,23.948011,-261.887000000002,8.57766,13.07306,220,209,0,0.191542857142857
"87",28.706032,100682,24.752123,447.453999999998,13.0385,13.5547,220.2,208.9,0,0.0124642857142857
"88",28.914248,100884,24.718453,1222.71400000001,11.79962,12.3621,212.1,217.4,0,0.0332047619047619
"89",35.002613,104964,26.515142,756.312000000005,16.6959,16.8093,232,217.6,0,0.839169047619048
"90",62.191458,114763,30.513914,-1361.48299999999,3.67836,4.06116,278.5,190.9,0,0.113147619047619
"91",54.947769,115189,35.269166,1402.008,7.3728,7.7292,263.9,190.9,0,0.38222380952381
"92",51.318243,114508,30.05902,1714.736,1.7644,4.47568,264.1,190.9,0,0.147683333333333
"93",45.431927,113544,33.770282,1609.467,3.303,3.303,263.9,190.9,0.0654142857142857,0
"94",39.116511,109324,33.758301,2767.829,17.7174,18.1098,197,217,0,0.378523809523809
"95",33.838712,103328,27.063089,3532.51300000001,18.2988,27.2136,192.8,150,0,0.604445238095238
"96",29.773352,97224,25.46626,4553.129,17.04504,25.68936,193,150,0,0.153985714285714
"97",32.084069,94352,39.201362,3863.629,29.55156,30.17634,147.7,137.4,0,0.0606984126984127
"98",32.265057,93347,31.971574,3993.961,35.35288,45.73308,163.5,137.4,0.255968253968254,0
"99",31.727209,92403,36.398621,4827.152,39.7068,62.1876,190.1,137.4,0,0.127952380952381
"100",33.42651,93335,57.206704,4733.68399999999,102.5643,139.54278,190.1,137.4,0.167695238095238,0
"101",35.472323,95913,76.331768,4996.126,108.98096,141.56736,252.7,137.4,0,0.502053968253968
"102",44.992351,102421,104.904318,4365.73299999999,175.1218,202.65556,331.6,155.5,0.0170333333333333,0
"103",68.761726,114010,102.142556,2063.959,99.99951,112.34826,385,144.4,0.187916666666667,0
"104",79.8857,116493,130.954253,4850.538,153.37608,174.68088,330.9,144.4,0.0909642857142857,0
"105",61.267832,113986,42.037051,6040.268,10.42272,12.29272,277.7,155.7,0,0.977642857142857
"106",45.916744,111727,40.242224,4508.018,188.58525,209.46975,290.9,155.4,0,0.137728571428571
"107",41.246488,109549,49.647506,3732.702,41.6904,83.3982,256.6,155.6,0,0.166066666666667
"108",37.969459,105789,45.594472,4459.073,41.56391,72.11621,256.9,155.9,0,0.202866666666667
"109",33.644654,102934,34.388853,4003.39599999999,68.1034,102.6066,262.5,155.5,0,0.0386666666666667
"110",32.600262,101200,34.359158,3524.289,43.95621,72.21015,295.8,164.7,0,0.0979857142857143
"111",31.229829,99418,28.962859,3297.027,19.0443,32.7642,295.9,164.7,0,0.283302380952381
"112",31.107726,99274,29.878419,3125.03999999999,39.62112,66.42504,295.8,164.7,0,0.0863238095238095
"113",34.766349,103812,31.510012,1569.401,19.1373,37.5921,285.2,161.7,0,0.320652380952381
"114",54.858162,113542,47.983547,-23.3570000000036,21.84486,28.0704,378.6,144.5,0.0797285714285714,0
"115",53.353684,114001,32.57237,3199.614,26.10063,40.36635,368.8,144.4,0,0.603530952380952
"116",49.349419,113395,32.204655,3827.599,4.4792,11.79728,342.8,144.4,0,0.233333333333333
"117",46.634234,111843,34.626018,4225.284,5.874,5.874,342.7,144.4,0,0.185014285714286
"118",41.114029,108122,31.847709,4582.954,31.59705,46.91235,269.1,158.2,0,0.0942023809523809
"119",34.244476,101556,29.125706,5710.95600000001,45.19328,107.1312,261.9,158.1,0,0.273211904761905
"120",32.270907,95978,36.39416,6263.353,46.4056,90.9106,260.2,154.4,0.208085714285714,0
"121",40.043242,95060,29.850132,3881.68799999999,37.7825,48.0335,164.4,136.5,0,0.531695238095238
"122",40.186264,93529,27.649067,4077.781,19.18785,19.42275,79.5,136.7,0,0.0797714285714286
"123",40.142794,92427,28.209979,4977.69,26.0568,26.5608,97.2,136.7,0,0.243142857142857
"124",39.499524,92850,28.910003,5229.742,15.0336,15.35724,103.5,136.7,0,0.377355555555556
"125",40.778262,95564,29.969894,5018.565,6.2747,6.7643,103.3,136.7,0,0.37532380952381
"126",51.253175,102603,58.282918,3539.928,70.38756,70.71436,217.5,154.3,0,0.269142857142857
"127",77.634926,111865,101.7078,3319.16,86.5881,86.5881,269.1,143.9,0,0.658469047619048
"128",81.039135,114696,63.390137,5299.41800000001,10.2916,15.4968,261.8,143.9,0,0.266854761904762
"129",54.801321,111186,66.522751,6512.379,37.09954,43.29584,220.2,145.7,0,0.211871428571429
"130",46.142342,108158,64.778636,4630.754,61.3477,61.73752,209.8,154.4,0,0.0145952380952381
"131",39.150957,105698,31.856066,2359.902,27.258,44.7048,172.3,154.5,0,0.0992261904761905
"132",35.023439,102350,29.561082,1791.808,36.06018,58.89348,170,153.4,0,0.180480952380952
"133",32.282491,98641,26.107763,2110.785,18.9544,27.6103,193.1,153.5,0,0.191445238095238
"134",31.605203,96969,27.500805,1448.61599999999,15.53552,24.60304,187.1,153.5,0,0.15547380952381
"135",30.494813,94923,25.387917,1787.198,15.7818,21.6978,187,153.5,0,0.23287380952381
"136",30.460843,94628,25.159842,1841.524,14.3055,16.2945,187.2,153.5,0,0.000126190476190477
"137",32.264436,98627,24.284242,552.115999999995,7.95345,8.39375,224.5,153.5,0.0396428571428571,0
