"","gen_coal","gen_gas","gen_hydro","gen_multi","gen_nuclear","gen_oil","gen_other","gen_otherRE","gen_solar","gen_storage","gen_solar.1","gen_wind"
"1",16091.9,3298.2,682.9,480.9,35428.1,1,18468,644.5,0,0,0,2263.5
"2",16103.3,2902,641.2,405.3,35438.9,1,17888.8,619.6,0,0,0,2366.4
"3",15856.2,2913.9,622.5,397.9,35425,0,16569.7,629.2,0,0,0,2543.3
"4",15632,2735.7,520.1,404.7,35442.7,0,16434.5,607.1,0,0,0,2244.9
"5",15557.8,2729.9,572.8,405,35433.4,0,16242.3,645.1,0,0,0,2287.8
"6",15595.3,2973.6,623.8,411.2,35433.2,0,16911.8,642.5,0,0,0,2549.3
"7",15627.8,2984.2,650.5,410.1,35434.7,0,16267.4,637.5,0,0,0,2498.7
"8",15891,2988.8,720.7,489.3,35429.8,0,16554,637,0,0,0,2472.1
"9",16181.6,2959.9,745.3,487,35432.9,0,17013,621.3,0,0,0,2452.9
"10",16541.4,2958.9,758.3,489,35453.1,0,18883.8,635.2,5.6,0,5.6,2715.7
"11",16755.9,3193.6,755,483.5,35451.1,1,20259.9,631.4,9.5,0,9.5,2532.9
"12",17303.9,3037.7,716.1,484.2,35422.2,0,20660.3,609.6,10,0,10,2992
"13",17398,3102.1,684.5,486.3,35426.9,0,20724,622.4,7.9,0,7.9,2982.4
"14",17524.6,2996.6,640.5,548.5,35424.3,0,20712.3,622.9,7.2,0,7.2,2928.7
"15",16967.9,3110.1,640.1,473.9,35434.1,0,20605.1,616.6,5.4,0,5.4,2871.5
"16",16570.9,3252.1,625.7,480.2,35429.7,0,20148.7,621.7,0,0,0,2951.1
"17",16836.9,3189.3,662.5,484.1,35426.6,0,21303,620.8,0,0,0,2858.8
"18",19020.6,3876.6,1513.6,503.7,35415.6,0,23570.5,616,0,0,0,2909.6
"19",21183.7,3909.1,1601.6,477.7,35425.6,0,24436.7,619.6,0,0,0,2824.7
"20",21844,3900.9,1318.5,478.6,35429.2,0,23538.5,621.6,0,0,0,2818.4
"21",21661.1,3894.5,1028,485.8,35437.8,1,22623.9,621.8,0,0,0,3091.7
"22",21610,3791.1,835.8,482.3,35450.4,0,21591.9,602.2,0,0,0,3202.7
"23",20228.2,3642.6,670,642,35442.2,0,20366.9,606.1,0,0,0,3321
"24",18439.5,3377.5,662.1,402,35436.7,0,19503.2,622.7,0,0,0,3317.4
"25",17410.5,3123.5,602.6,453.9,35430.7,0,18930.3,604.7,0,0,0,3307.3
"26",16628.5,2780.3,598.6,413.9,35450.6,0,18247.2,576.8,0,0,0,3292.3
"27",16192.5,2828.3,601.7,415.5,35446.8,0,18011.7,570.8,0,0,0,3179.8
"28",16465.6,3000.3,642.8,418.4,35443.8,0,18309.2,551.6,0,0,0,2794.6
"29",16600.2,2850.1,585.1,415.1,35446.9,0,17627.8,553.9,0,0,0,2438.8
"30",17263.3,3215.8,638.1,416.5,35446.1,0,18581.9,564.2,0,0,0,2095.7
"31",18849.3,2965.5,602.6,488.4,35442.2,0,18908.9,568.3,0,0,0,1977.7
"32",19888.1,2934.6,591.1,494.3,35440.3,0,20209.3,560.4,0,0,0,1727.6
"33",21440.9,3232.3,699.2,491.4,35444.9,0,20830.3,565.6,8.8,0,8.8,1440.5
"34",21491.2,3177.9,648.3,493.5,35436.4,0,21331.1,565.1,28.9,0,28.9,1256.7
"35",21561.6,3167.3,639.1,494.5,35445.6,0,20594.2,550.3,46.6,0,46.6,1371.9
"36",20102.1,3184.4,689.3,492.3,35430.9,0,20841,546.2,55.1,0,55.1,1572.4
"37",19382.4,2879.6,637.3,481.7,35448.3,0,19912,550.3,57.3,0,57.3,1681.1
"38",18474.4,2521,615.3,481.9,35447.4,11,18971.2,553.9,53.2,0,53.2,2050.9
"39",17932.8,2751.8,650.6,481.9,35447.5,11,18888.9,552.6,44.8,0,44.8,2099.1
"40",17511.5,2563.9,646.4,485.3,35435.1,0,18364,551.4,18.1,0,18.1,2207.5
"41",17458.8,2571.3,652.7,483,35428.5,0,20174.4,560.9,0,0,0,2157.8
"42",18011.2,3392.1,1525.7,591.3,35427.6,0,24694,569.4,0,0,0,2389.6
"43",20723.1,3389.1,1245.7,799.4,35422.9,0,24947.7,578.2,0,0,0,2988.6
"44",21156.8,3386.3,944.9,746.3,35421.3,0,24338.6,586.8,0,0,0,3504.2
"45",21555.2,3375.6,959.6,476.9,35429.7,0,22913.9,572.9,0,0,0,3956.4
"46",21459.5,3353.9,750.4,485,35442.8,0,21877.2,569.7,0,0,0,4038.2
"47",21012.1,3166.9,576.7,491.7,35368.9,0,20652.9,556,0,0,0,3924.2
"48",19728,3105.8,595.1,516,35088.7,0,20024.8,568.2,0,0,0,3839.3
"49",19617.6,3416.9,679.5,448.2,35169.2,0,18480,565,0,0,0,3889.8
"50",19098.3,2918.9,612.7,417.4,35358.9,0,17371.5,557.9,0,0,0,3651.1
"51",18204.4,2930.2,617.1,422,35395.5,1,17046.5,574.6,0,0,0,3451.1
