,DA_total_USD,DA_total_MWh,RT_total_USD,RT_total_MWh,REG_d_USD,REG_a_USD,REG_d_MW,REG_a_MW,REG_E_USD,REG_MWh,REG_LO_USD,SR_R_USD,SR_MW,SR_2_MW,SR_LO_USD,NSR_R_USD,NSR_MW
1,24523739174,771171900,998237737.4,21134530.88,46362240.77,43580280.32,220.8,391.7,-17938199.83,-636394.2983,6672274.84,17711611.91,4127.1,2331.8,16514315.24,3842364.83,4339.6
,,,,,,,,,,,,,,,,,
,,US,PJM,,,,,,,,,,,,,,
,Metering point,150723732,30331401,GTM,Estimated,,,,,,,,,,,,
,Population(million),323,65,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,USD,mUSD,MW,$/MP,$/kW/a,,,,,,,,,,,
,DA,24523739174, 24'523.7 ,,808.5,,,,,,,,,,,,
,RT,998237737.4, 998.2 ,,32.9,,,,,,,,,,,,
,Regulation,78676596.11, 78.7 ,612.5,2.6,128.5,,,,,,,,,,,
,Synchronized reserve,34225927.15, 34.2 ,4127.1,1.1,8.3,,,,,,,,,,,
,Non-syncrhonized reserve,3842364.83, 3.8 ,4339.6,0.1,0.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Regulation,USD, mUSD ,MW,,,,,,,,,,,,,
,RegD,46362240.77, 46.4 ,220.8,1.5,210.0,,,,,,,,,,,
,RegA,43580280.32, 43.6 ,391.7,1.4,111.3,,,,,,,,,,,
,Lost Opportunity,6672274.84, 6.7 ,,0.2,,,,,,,,,,,,
,Incured energy,-17938199.83, -17.9 ,,-0.6,,,,,,,,,,,,
