datetime_beginning_utc,datetime_beginning_ept,requirement,regd_ssmw,rega_ssmw,regd_procure,rega_procure,total_mw,deficiency,rto_perfscore,rega_mileage,regd_mileage,rega_hourly,regd_hourly,is_approved,modified_datetime_utc
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,525,88.7,54.2,183.1,198.7,525.0,0.0,0.79,6.6,14.7,6.2,12.5,1,5/25/2017 4:23:50 PM
1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,525,88.7,56.3,183.1,196.5,525.0,0.0,0.78,6.6,14.7,1.1,13.0,1,5/25/2017 4:23:50 PM
1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,525,88.7,62.5,183.1,190.4,525.0,0.0,0.80,6.6,14.7,0.0,10.6,1,5/25/2017 4:23:50 PM
1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,525,88.7,62.5,183.1,190.4,525.0,0.0,0.82,6.6,14.7,0.5,9.6,1,5/25/2017 4:23:50 PM
1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,525,88.7,61.7,183.1,191.2,525.0,0.0,0.82,6.6,14.7,0.1,8.5,1,5/25/2017 4:23:50 PM
1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,700,148.3,66.9,220.8,263.5,700.0,0.0,0.86,6.6,14.7,3.7,10.5,1,5/25/2017 4:23:50 PM
1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,700,117.8,72.0,197.5,312.5,700.0,0.0,0.84,6.6,14.7,4.2,11.9,1,5/25/2017 4:23:50 PM
1/1/2016 12:00:00 PM,1/1/2016 7:00:00 AM,700,117.8,52.6,197.5,332.1,700.0,0.0,0.87,6.6,14.7,3.5,11.9,1,5/25/2017 4:23:50 PM
1/1/2016 1:00:00 PM,1/1/2016 8:00:00 AM,700,148.9,53.8,220.7,276.2,700.0,0.0,0.85,6.6,14.7,7.8,13.5,1,5/25/2017 4:23:50 PM
1/1/2016 2:00:00 PM,1/1/2016 9:00:00 AM,700,148.8,65.0,220.8,265.0,700.0,0.0,0.79,6.6,14.7,8.0,13.1,1,5/25/2017 4:23:50 PM
1/1/2016 3:00:00 PM,1/1/2016 10:00:00 AM,700,148.8,108.1,220.8,222.1,700.0,0.0,0.87,6.6,14.7,5.8,10.8,1,5/25/2017 4:23:50 PM
1/1/2016 4:00:00 PM,1/1/2016 11:00:00 AM,700,148.7,108.1,220.8,222.1,700.0,0.0,0.80,6.6,14.7,7.3,11.8,1,5/25/2017 4:23:50 PM
1/1/2016 5:00:00 PM,1/1/2016 12:00:00 PM,700,148.6,108.1,220.7,222.0,700.0,0.0,0.86,6.6,14.7,6.1,11.1,1,5/25/2017 4:23:50 PM
1/1/2016 6:00:00 PM,1/1/2016 1:00:00 PM,700,153.8,106.8,218.3,220.7,700.0,0.0,0.87,6.6,14.7,4.6,10.7,1,5/25/2017 4:23:50 PM
1/1/2016 7:00:00 PM,1/1/2016 2:00:00 PM,700,153.8,106.8,218.1,220.8,700.0,0.0,0.88,6.6,14.7,4.2,11.9,1,5/25/2017 4:23:50 PM
1/1/2016 8:00:00 PM,1/1/2016 3:00:00 PM,700,153.6,106.8,218.3,220.8,700.0,0.0,0.87,6.6,14.7,4.1,11.5,1,5/25/2017 4:23:50 PM
1/1/2016 9:00:00 PM,1/1/2016 4:00:00 PM,700,152.8,74.5,218.5,254.1,700.0,0.0,0.89,6.6,14.7,4.2,12.8,1,5/25/2017 4:23:50 PM
1/1/2016 10:00:00 PM,1/1/2016 5:00:00 PM,700,117.8,74.5,197.5,310.1,700.0,0.0,0.87,6.6,14.7,8.4,13.0,1,5/25/2017 4:23:50 PM
1/1/2016 11:00:00 PM,1/1/2016 6:00:00 PM,700,117.8,74.5,197.5,310.0,700.0,0.0,0.89,6.6,14.7,4.0,10.7,1,5/25/2017 4:23:50 PM
1/2/2016 12:00:00 AM,1/1/2016 7:00:00 PM,700,117.8,74.5,197.5,310.0,700.0,0.0,0.84,6.6,14.7,6.6,14.2,1,5/25/2017 4:23:50 PM
1/2/2016 1:00:00 AM,1/1/2016 8:00:00 PM,700,117.8,74.5,197.5,310.0,700.0,0.0,0.90,6.6,14.7,3.2,10.9,1,5/25/2017 4:23:50 PM
1/2/2016 2:00:00 AM,1/1/2016 9:00:00 PM,700,153.7,115.1,218.2,212.5,700.0,0.0,0.87,6.6,14.7,5.5,11.7,1,5/25/2017 4:23:50 PM
1/2/2016 3:00:00 AM,1/1/2016 10:00:00 PM,700,153.7,118.1,218.2,209.4,700.0,0.0,0.92,6.6,14.7,2.0,13.7,1,5/25/2017 4:23:50 PM
1/2/2016 4:00:00 AM,1/1/2016 11:00:00 PM,700,153.6,119.7,218.2,208.0,700.0,0.0,0.85,6.6,14.7,7.7,12.6,1,5/25/2017 4:23:50 PM
1/2/2016 5:00:00 AM,1/2/2016 12:00:00 AM,525,92.0,123.4,180.7,129.1,525.0,0.0,0.87,6.5,14.5,4.9,12.5,1,5/25/2017 4:23:50 PM
1/2/2016 6:00:00 AM,1/2/2016 1:00:00 AM,525,90.9,125.2,180.7,128.3,525.0,0.0,0.87,6.5,14.5,4.4,12.8,1,5/25/2017 4:23:50 PM
1/2/2016 7:00:00 AM,1/2/2016 2:00:00 AM,525,90.9,124.2,180.7,129.3,525.0,0.0,0.85,6.5,14.5,8.9,11.8,1,5/25/2017 4:23:50 PM
1/2/2016 8:00:00 AM,1/2/2016 3:00:00 AM,525,90.9,124.2,180.7,129.3,525.0,0.0,0.84,6.5,14.5,8.7,12.1,1,5/25/2017 4:23:50 PM
1/2/2016 9:00:00 AM,1/2/2016 4:00:00 AM,525,90.9,124.2,180.7,129.4,525.0,0.0,0.88,6.5,14.5,4.6,11.3,1,5/25/2017 4:23:50 PM
1/2/2016 10:00:00 AM,1/2/2016 5:00:00 AM,700,150.4,141.9,219.1,188.3,700.0,0.0,0.86,6.5,14.5,6.7,11.4,1,5/25/2017 4:23:50 PM
1/2/2016 11:00:00 AM,1/2/2016 6:00:00 AM,700,119.7,103.5,195.5,281.3,700.0,0.0,0.90,6.5,14.5,4.5,13.3,1,5/25/2017 4:23:50 PM
1/2/2016 12:00:00 PM,1/2/2016 7:00:00 AM,700,119.7,72.1,195.5,312.6,700.0,0.0,0.91,6.5,14.5,1.3,12.6,1,5/25/2017 4:23:50 PM
1/2/2016 1:00:00 PM,1/2/2016 8:00:00 AM,700,150.1,72.1,219.2,258.1,700.0,0.0,0.89,6.5,14.5,6.4,11.8,1,5/25/2017 4:23:50 PM
1/2/2016 2:00:00 PM,1/2/2016 9:00:00 AM,700,150.6,72.1,219.2,257.8,700.0,0.0,0.89,6.5,14.5,6.7,14.1,1,5/25/2017 4:23:50 PM
1/2/2016 3:00:00 PM,1/2/2016 10:00:00 AM,700,150.7,178.4,219.1,151.4,700.0,0.0,0.90,6.5,14.5,5.9,14.1,1,5/25/2017 4:23:50 PM
1/2/2016 4:00:00 PM,1/2/2016 11:00:00 AM,700,150.8,177.7,219.2,151.9,700.0,0.0,0.84,6.5,14.5,7.4,12.5,1,5/25/2017 4:23:50 PM
1/2/2016 5:00:00 PM,1/2/2016 12:00:00 PM,700,150.9,175.8,219.1,153.8,700.0,0.0,0.87,6.5,14.5,6.6,15.6,1,5/25/2017 4:23:50 PM
