datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,8.70,1.24,75186.71993,23.22000,453.56400,174.83500,328.70800
1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,8.47,0.02,73085.60002,244.69000,452.86700,166.53500,336.33400
1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,8.45,0.00,71305.15494,4.92000,462.53500,181.06500,332.77200
1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,6.08,0.13,70526.53697,34.83000,456.46900,178.39400,329.15900
1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,5.58,0.00,70747.44708,10.48000,454.86800,174.04500,332.45700
1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,11.16,1.06,72274.03996,625.42000,539.89500,191.44200,410.04000
1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,1/1/2016 12:00:00 PM,1/1/2016 7:00:00 AM,10.29,1.21,74427.05385,0.00000,559.66400,215.06600,409.15500
1/1/2016 12:00:00 PM,1/1/2016 7:00:00 AM,1/1/2016 1:00:00 PM,1/1/2016 8:00:00 AM,93.48,0.96,76071.80304,1712.68000,582.15500,182.89300,446.96700
1/1/2016 1:00:00 PM,1/1/2016 8:00:00 AM,1/1/2016 2:00:00 PM,1/1/2016 9:00:00 AM,56.48,1.78,77436.39099,599.37000,514.49700,167.08300,398.09200
1/1/2016 2:00:00 PM,1/1/2016 9:00:00 AM,1/1/2016 3:00:00 PM,1/1/2016 10:00:00 AM,7.73,1.66,79750.83296,440.60000,482.85500,159.17000,365.79800
1/1/2016 3:00:00 PM,1/1/2016 10:00:00 AM,1/1/2016 4:00:00 PM,1/1/2016 11:00:00 AM,11.26,0.08,81887.66896,249.15000,521.96700,228.49900,363.43800
1/1/2016 4:00:00 PM,1/1/2016 11:00:00 AM,1/1/2016 5:00:00 PM,1/1/2016 12:00:00 PM,7.76,0.10,83028.46901,461.91000,472.76900,191.08700,322.36600
1/1/2016 5:00:00 PM,1/1/2016 12:00:00 PM,1/1/2016 6:00:00 PM,1/1/2016 1:00:00 PM,10.79,0.09,83350.94400,523.33000,513.96400,227.74800,354.06800
1/1/2016 6:00:00 PM,1/1/2016 1:00:00 PM,1/1/2016 7:00:00 PM,1/1/2016 2:00:00 PM,9.82,0.07,82840.35699,570.01000,516.36600,224.82300,358.51200
1/1/2016 7:00:00 PM,1/1/2016 2:00:00 PM,1/1/2016 8:00:00 PM,1/1/2016 3:00:00 PM,7.01,0.94,82378.07303,772.79000,537.17100,244.44300,365.61100
1/1/2016 8:00:00 PM,1/1/2016 3:00:00 PM,1/1/2016 9:00:00 PM,1/1/2016 4:00:00 PM,6.15,0.06,82548.18098,968.97000,512.72000,228.80800,352.83200
1/1/2016 9:00:00 PM,1/1/2016 4:00:00 PM,1/1/2016 10:00:00 PM,1/1/2016 5:00:00 PM,6.64,0.03,84885.26797,1459.63000,552.47400,205.39700,392.49100
1/1/2016 10:00:00 PM,1/1/2016 5:00:00 PM,1/1/2016 11:00:00 PM,1/1/2016 6:00:00 PM,2.12,1.47,91032.88398,1681.52000,575.23700,232.77400,384.16300
1/1/2016 11:00:00 PM,1/1/2016 6:00:00 PM,1/2/2016 12:00:00 AM,1/1/2016 7:00:00 PM,3.26,0.73,92521.63009,1715.43000,600.37700,244.23400,406.35600
1/2/2016 12:00:00 AM,1/1/2016 7:00:00 PM,1/2/2016 1:00:00 AM,1/1/2016 8:00:00 PM,6.86,1.16,91918.20502,573.32000,573.45900,224.52700,391.39800
1/2/2016 1:00:00 AM,1/1/2016 8:00:00 PM,1/2/2016 2:00:00 AM,1/1/2016 9:00:00 PM,3.63,0.43,90933.87708,1800.78000,604.35700,245.67400,411.56600
1/2/2016 2:00:00 AM,1/1/2016 9:00:00 PM,1/2/2016 3:00:00 AM,1/1/2016 10:00:00 PM,10.34,2.30,89130.77302,689.42000,483.16900,214.51500,327.53000
1/2/2016 3:00:00 AM,1/1/2016 10:00:00 PM,1/2/2016 4:00:00 AM,1/1/2016 11:00:00 PM,9.76,0.52,85994.86599,863.53000,523.48800,244.57400,351.17300
1/2/2016 4:00:00 AM,1/1/2016 11:00:00 PM,1/2/2016 5:00:00 AM,1/2/2016 12:00:00 AM,7.78,1.56,82492.53100,771.22000,493.69200,231.27500,329.46400
1/2/2016 5:00:00 AM,1/2/2016 12:00:00 AM,1/2/2016 6:00:00 AM,1/2/2016 1:00:00 AM,9.51,0.07,79032.73299,0.00000,443.98100,245.61400,260.46800
1/2/2016 6:00:00 AM,1/2/2016 1:00:00 AM,1/2/2016 7:00:00 AM,1/2/2016 2:00:00 AM,7.26,0.53,76885.05498,432.94000,441.45100,244.30100,259.58200
1/2/2016 7:00:00 AM,1/2/2016 2:00:00 AM,1/2/2016 8:00:00 AM,1/2/2016 3:00:00 AM,3.80,0.10,75800.78895,112.84000,428.72100,237.84600,251.59300
1/2/2016 8:00:00 AM,1/2/2016 3:00:00 AM,1/2/2016 9:00:00 AM,1/2/2016 4:00:00 AM,4.55,0.09,75708.00003,17.67000,410.13600,219.01800,242.72000
1/2/2016 9:00:00 AM,1/2/2016 4:00:00 AM,1/2/2016 10:00:00 AM,1/2/2016 5:00:00 AM,5.90,0.06,76505.92004,151.30000,438.14600,242.06900,260.30700
1/2/2016 10:00:00 AM,1/2/2016 5:00:00 AM,1/2/2016 11:00:00 AM,1/2/2016 6:00:00 AM,12.64,0.09,78563.12199,379.18000,485.17800,235.08800,313.29900
1/2/2016 11:00:00 AM,1/2/2016 6:00:00 AM,1/2/2016 12:00:00 PM,1/2/2016 7:00:00 AM,8.33,1.29,81826.51395,10.19000,578.31700,266.71600,394.71200
1/2/2016 12:00:00 PM,1/2/2016 7:00:00 AM,1/2/2016 1:00:00 PM,1/2/2016 8:00:00 AM,9.06,0.19,85027.33700,915.24000,598.08800,229.19400,442.62900
1/2/2016 1:00:00 PM,1/2/2016 8:00:00 AM,1/2/2016 2:00:00 PM,1/2/2016 9:00:00 AM,21.59,0.08,86763.03400,440.95000,521.83000,196.31800,394.73500
1/2/2016 2:00:00 PM,1/2/2016 9:00:00 AM,1/2/2016 3:00:00 PM,1/2/2016 10:00:00 AM,8.17,1.95,86989.58593,492.58000,508.68100,183.28900,389.65900
1/2/2016 3:00:00 PM,1/2/2016 10:00:00 AM,1/2/2016 4:00:00 PM,1/2/2016 11:00:00 AM,8.27,0.00,86544.50198,351.81000,514.23900,301.06400,285.76800
1/2/2016 4:00:00 PM,1/2/2016 11:00:00 AM,1/2/2016 5:00:00 PM,1/2/2016 12:00:00 PM,5.06,0.09,85273.28703,85.17000,483.33400,267.72800,267.06000
1/2/2016 5:00:00 PM,1/2/2016 12:00:00 PM,1/2/2016 6:00:00 PM,1/2/2016 1:00:00 PM,10.08,0.09,83572.46998,62.14000,504.51600,280.89500,289.26400
1/2/2016 6:00:00 PM,1/2/2016 1:00:00 PM,1/2/2016 7:00:00 PM,1/2/2016 2:00:00 PM,15.02,0.08,81792.17300,555.11000,501.37000,282.71100,285.14000
1/2/2016 7:00:00 PM,1/2/2016 2:00:00 PM,1/2/2016 8:00:00 PM,1/2/2016 3:00:00 PM,10.31,0.09,80390.64900,246.22000,516.38500,293.83400,289.70500
1/2/2016 8:00:00 PM,1/2/2016 3:00:00 PM,1/2/2016 9:00:00 PM,1/2/2016 4:00:00 PM,15.44,0.08,80265.65596,0.00000,488.68900,275.35500,277.17800
1/2/2016 9:00:00 PM,1/2/2016 4:00:00 PM,1/2/2016 10:00:00 PM,1/2/2016 5:00:00 PM,9.68,0.59,82720.59403,155.92000,504.15500,183.00500,358.44300
1/2/2016 10:00:00 PM,1/2/2016 5:00:00 PM,1/2/2016 11:00:00 PM,1/2/2016 6:00:00 PM,4.89,0.00,89666.04499,829.46000,587.09000,252.62800,381.02900
1/2/2016 11:00:00 PM,1/2/2016 6:00:00 PM,1/3/2016 12:00:00 AM,1/2/2016 7:00:00 PM,2.90,0.34,92846.07505,1671.93000,583.98400,247.49200,385.07700
1/3/2016 12:00:00 AM,1/2/2016 7:00:00 PM,1/3/2016 1:00:00 AM,1/2/2016 8:00:00 PM,1.85,0.30,92801.15599,3044.05000,592.60500,251.54700,393.16600
1/3/2016 1:00:00 AM,1/2/2016 8:00:00 PM,1/3/2016 2:00:00 AM,1/2/2016 9:00:00 PM,5.56,0.05,92096.72111,437.48000,593.30000,253.91900,388.61600
1/3/2016 2:00:00 AM,1/2/2016 9:00:00 PM,1/3/2016 3:00:00 AM,1/2/2016 10:00:00 PM,7.38,0.97,90630.41299,341.24000,497.79400,232.22700,328.89200
1/3/2016 3:00:00 AM,1/2/2016 10:00:00 PM,1/3/2016 4:00:00 AM,1/2/2016 11:00:00 PM,8.77,0.05,87840.41695,32.88000,500.60400,315.53000,256.06900
1/3/2016 4:00:00 AM,1/2/2016 11:00:00 PM,1/3/2016 5:00:00 AM,1/3/2016 12:00:00 AM,6.48,1.10,84072.14900,0.00000,499.20900,309.88000,260.32400
1/3/2016 5:00:00 AM,1/3/2016 12:00:00 AM,1/3/2016 6:00:00 AM,1/3/2016 1:00:00 AM,6.20,0.08,80756.09797,0.00000,415.91700,270.53800,204.87200
1/3/2016 6:00:00 AM,1/3/2016 1:00:00 AM,1/3/2016 7:00:00 AM,1/3/2016 2:00:00 AM,6.46,0.09,78502.09703,104.76000,423.80300,268.83100,212.66300
1/3/2016 7:00:00 AM,1/3/2016 2:00:00 AM,1/3/2016 8:00:00 AM,1/3/2016 3:00:00 AM,6.06,0.15,77408.62209,196.52000,409.61400,260.54000,208.00300
1/3/2016 8:00:00 AM,1/3/2016 3:00:00 AM,1/3/2016 9:00:00 AM,1/3/2016 4:00:00 AM,5.61,0.11,77041.38205,71.79000,405.22100,257.65600,206.62700
