time,value
1/1/2017 12:00:00 AM,-106.82
1/1/2017 12:10:00 AM,108.94
1/1/2017 12:20:00 AM,-147.8
1/1/2017 12:30:00 AM,148.15
1/1/2017 12:40:00 AM,-36.86
1/1/2017 12:50:00 AM,-189.77
1/1/2017 1:00:00 AM,-221.16
1/1/2017 1:10:00 AM,464.66
1/1/2017 1:20:00 AM,566.5
1/1/2017 1:30:00 AM,646.59
1/1/2017 1:40:00 AM,20.05
1/1/2017 1:50:00 AM,229.75
1/1/2017 2:00:00 AM,-140.28
1/1/2017 2:10:00 AM,52.74
1/1/2017 2:20:00 AM,80.06
1/1/2017 2:30:00 AM,23.66
1/1/2017 2:40:00 AM,-109.41
1/1/2017 2:50:00 AM,8.2
1/1/2017 3:00:00 AM,79.23
1/1/2017 3:10:00 AM,-23.17
1/1/2017 3:20:00 AM,87.15
1/1/2017 3:30:00 AM,-125.86
1/1/2017 3:40:00 AM,119.71
1/1/2017 3:50:00 AM,-25.69
1/1/2017 4:00:00 AM,14.73
1/1/2017 4:10:00 AM,20
1/1/2017 4:20:00 AM,-40.08
1/1/2017 4:30:00 AM,107.4
1/1/2017 4:40:00 AM,-99.54
1/1/2017 4:50:00 AM,-58.11
1/1/2017 5:00:00 AM,-104.65
1/1/2017 5:10:00 AM,106.62
1/1/2017 5:20:00 AM,-8.35
1/1/2017 5:30:00 AM,8.63
1/1/2017 5:40:00 AM,-31.31
1/1/2017 5:50:00 AM,-24.12
1/1/2017 6:00:00 AM,21.31
1/1/2017 6:10:00 AM,62.8
1/1/2017 6:20:00 AM,3.52
1/1/2017 6:30:00 AM,69.73
1/1/2017 6:40:00 AM,23.34
1/1/2017 6:50:00 AM,-127.36
1/1/2017 7:00:00 AM,-87.74
1/1/2017 7:10:00 AM,39.18
1/1/2017 7:20:00 AM,74.79
1/1/2017 7:30:00 AM,42.49
1/1/2017 7:40:00 AM,-21.91
1/1/2017 7:50:00 AM,-97.59
1/1/2017 8:00:00 AM,29
1/1/2017 8:10:00 AM,39.89
1/1/2017 8:20:00 AM,43.94
1/1/2017 8:30:00 AM,27.76
1/1/2017 8:40:00 AM,31.74
1/1/2017 8:50:00 AM,-53.36
1/1/2017 9:00:00 AM,131.93
1/1/2017 9:10:00 AM,53.93
1/1/2017 9:20:00 AM,266.31
1/1/2017 9:30:00 AM,66.02
1/1/2017 9:40:00 AM,-21.89
1/1/2017 9:50:00 AM,198.1
1/1/2017 10:00:00 AM,601.27
1/1/2017 10:10:00 AM,18.07
1/1/2017 10:20:00 AM,133.61
1/1/2017 10:30:00 AM,28.89
1/1/2017 10:40:00 AM,-58.95
1/1/2017 10:50:00 AM,58.86
1/1/2017 11:00:00 AM,79.23
1/1/2017 11:10:00 AM,-86.76
1/1/2017 11:20:00 AM,-67.22
1/1/2017 11:30:00 AM,77.89
1/1/2017 11:40:00 AM,-8.1
1/1/2017 11:50:00 AM,20.67
1/1/2017 12:00:00 PM,152.4
1/1/2017 12:10:00 PM,0.02
1/1/2017 12:20:00 PM,-28.58
1/1/2017 12:30:00 PM,118.05
1/1/2017 12:40:00 PM,143.95
1/1/2017 12:50:00 PM,2.94
1/1/2017 1:00:00 PM,23.77
1/1/2017 1:10:00 PM,117.44
1/1/2017 1:20:00 PM,24.03
1/1/2017 1:30:00 PM,55.55
1/1/2017 1:40:00 PM,76.63
1/1/2017 1:50:00 PM,164.49
1/1/2017 2:00:00 PM,323.16
1/1/2017 2:10:00 PM,-19.24
1/1/2017 2:20:00 PM,27.6
1/1/2017 2:30:00 PM,-83.48
1/1/2017 2:40:00 PM,-54.24
1/1/2017 2:50:00 PM,11.3
1/1/2017 3:00:00 PM,70.2
1/1/2017 3:10:00 PM,57.81
1/1/2017 3:20:00 PM,60.65
1/1/2017 3:30:00 PM,-44.91
1/1/2017 3:40:00 PM,-39.47
1/1/2017 3:50:00 PM,145.22
1/1/2017 4:00:00 PM,-18.77
1/1/2017 4:10:00 PM,421.92
1/1/2017 4:20:00 PM,-58.11
1/1/2017 4:30:00 PM,14.55
1/1/2017 4:40:00 PM,-85.95
1/1/2017 4:50:00 PM,64.06
1/1/2017 5:00:00 PM,216.86
1/1/2017 5:10:00 PM,-74.95
1/1/2017 5:20:00 PM,-190.44
1/1/2017 5:30:00 PM,325.8
1/1/2017 5:40:00 PM,450.85
1/1/2017 5:50:00 PM,56.46
1/1/2017 6:00:00 PM,40.54
1/1/2017 6:10:00 PM,-103
1/1/2017 6:20:00 PM,-27.55
1/1/2017 6:30:00 PM,177.8
1/1/2017 6:40:00 PM,201.98
1/1/2017 6:50:00 PM,76.23
1/1/2017 7:00:00 PM,-45.71
1/1/2017 7:10:00 PM,27.94
1/1/2017 7:20:00 PM,18.48
1/1/2017 7:30:00 PM,-108.72
1/1/2017 7:40:00 PM,20.61
1/1/2017 7:50:00 PM,81.01
1/1/2017 8:00:00 PM,173.13
1/1/2017 8:10:00 PM,201.19
1/1/2017 8:20:00 PM,-124.26
1/1/2017 8:30:00 PM,11.78
1/1/2017 8:40:00 PM,97.04
1/1/2017 8:50:00 PM,-60.03
1/1/2017 9:00:00 PM,-49.43
1/1/2017 9:10:00 PM,20.13
1/1/2017 9:20:00 PM,-1.68
1/1/2017 9:30:00 PM,99.87
1/1/2017 9:40:00 PM,-71.77
1/1/2017 9:50:00 PM,47.73
1/1/2017 10:00:00 PM,-7.75
1/1/2017 10:10:00 PM,101.84
1/1/2017 10:20:00 PM,-23.75
1/1/2017 10:30:00 PM,-86.93
1/1/2017 10:40:00 PM,83.76
1/1/2017 10:50:00 PM,487.71
1/1/2017 11:00:00 PM,-26.35
1/1/2017 11:10:00 PM,42.87
1/1/2017 11:20:00 PM,482.45
1/1/2017 11:30:00 PM,547.07
1/1/2017 11:40:00 PM,71.6
1/1/2017 11:50:00 PM,28.43
1/2/2017 12:00:00 AM,-35.23
1/2/2017 12:10:00 AM,-131.92
1/2/2017 12:20:00 AM,112.21
1/2/2017 12:30:00 AM,229.95
1/2/2017 12:40:00 AM,236.24
1/2/2017 12:50:00 AM,-99.59
1/2/2017 1:00:00 AM,-11.61
1/2/2017 1:10:00 AM,87.51
1/2/2017 1:20:00 AM,-90.34
1/2/2017 1:30:00 AM,-11.46
1/2/2017 1:40:00 AM,-65.16
1/2/2017 1:50:00 AM,-26.49
1/2/2017 2:00:00 AM,-11.05
1/2/2017 2:10:00 AM,85.7
1/2/2017 2:20:00 AM,21.42
1/2/2017 2:30:00 AM,-16.2
1/2/2017 2:40:00 AM,-28.3
1/2/2017 2:50:00 AM,42.79
1/2/2017 3:00:00 AM,28.59
1/2/2017 3:10:00 AM,7.66
1/2/2017 3:20:00 AM,-22.32
1/2/2017 3:30:00 AM,-7.41
1/2/2017 3:40:00 AM,-63.75
1/2/2017 3:50:00 AM,61.2
1/2/2017 4:00:00 AM,-71.81
1/2/2017 4:10:00 AM,-12.34
1/2/2017 4:20:00 AM,15.23
1/2/2017 4:30:00 AM,2.92
1/2/2017 4:40:00 AM,24.03
1/2/2017 4:50:00 AM,40.77
1/2/2017 5:00:00 AM,224.02
1/2/2017 5:10:00 AM,24.9
1/2/2017 5:20:00 AM,5.94
1/2/2017 5:30:00 AM,173.44
1/2/2017 5:40:00 AM,358.59
1/2/2017 5:50:00 AM,108
1/2/2017 6:00:00 AM,256.85
1/2/2017 6:10:00 AM,521.53
1/2/2017 6:20:00 AM,574.49
1/2/2017 6:30:00 AM,493.97
1/2/2017 6:40:00 AM,5.16
1/2/2017 6:50:00 AM,-8.61
1/2/2017 7:00:00 AM,-14.99
1/2/2017 7:10:00 AM,-54.38
1/2/2017 7:20:00 AM,36.95
1/2/2017 7:30:00 AM,102.88
1/2/2017 7:40:00 AM,35.85
1/2/2017 7:50:00 AM,2.06
1/2/2017 8:00:00 AM,39.68
1/2/2017 8:10:00 AM,-3.66
1/2/2017 8:20:00 AM,292.35
1/2/2017 8:30:00 AM,25.63
1/2/2017 8:40:00 AM,-31.24
1/2/2017 8:50:00 AM,-5.5
1/2/2017 9:00:00 AM,-3.86
1/2/2017 9:10:00 AM,-85.16
1/2/2017 9:20:00 AM,87.51
1/2/2017 9:30:00 AM,9.24
1/2/2017 9:40:00 AM,-36.28
1/2/2017 9:50:00 AM,-76.71
1/2/2017 10:00:00 AM,146.77
1/2/2017 10:10:00 AM,12.05
1/2/2017 10:20:00 AM,74.16
1/2/2017 10:30:00 AM,142.74
1/2/2017 10:40:00 AM,429.59
1/2/2017 10:50:00 AM,410.04
1/2/2017 11:00:00 AM,419.13
1/2/2017 11:10:00 AM,-122.6
1/2/2017 11:20:00 AM,-79.64
1/2/2017 11:30:00 AM,-68.77
1/2/2017 11:40:00 AM,159.44
1/2/2017 11:50:00 AM,306.52
1/2/2017 12:00:00 PM,338.41
1/2/2017 12:10:00 PM,376.85
1/2/2017 12:20:00 PM,333.4
1/2/2017 12:30:00 PM,218.21
1/2/2017 12:40:00 PM,-129.7
1/2/2017 12:50:00 PM,-2.75
1/2/2017 1:00:00 PM,100.77
1/2/2017 1:10:00 PM,-132.88
1/2/2017 1:20:00 PM,131.21
1/2/2017 1:30:00 PM,282.16
1/2/2017 1:40:00 PM,639.04
1/2/2017 1:50:00 PM,267.99
1/2/2017 2:00:00 PM,-69.77
1/2/2017 2:10:00 PM,-82.38
1/2/2017 2:20:00 PM,88.19
1/2/2017 2:30:00 PM,43.9
1/2/2017 2:40:00 PM,-162.15
1/2/2017 2:50:00 PM,168.94
1/2/2017 3:00:00 PM,203.11
1/2/2017 3:10:00 PM,447.53
1/2/2017 3:20:00 PM,276.86
1/2/2017 3:30:00 PM,157.53
1/2/2017 3:40:00 PM,249.1
1/2/2017 3:50:00 PM,-19.53
1/2/2017 4:00:00 PM,152.08
1/2/2017 4:10:00 PM,306.96
1/2/2017 4:20:00 PM,293.39
1/2/2017 4:30:00 PM,23.09
1/2/2017 4:40:00 PM,126.07
1/2/2017 4:50:00 PM,555.67
1/2/2017 5:00:00 PM,650.65
1/2/2017 5:10:00 PM,1089.43
1/2/2017 5:20:00 PM,-6.73
1/2/2017 5:30:00 PM,-31.13
1/2/2017 5:40:00 PM,-13.69
1/2/2017 5:50:00 PM,134.11
1/2/2017 6:00:00 PM,256.46
1/2/2017 6:10:00 PM,194.32
1/2/2017 6:20:00 PM,110.19
1/2/2017 6:30:00 PM,608.41
1/2/2017 6:40:00 PM,676.69
1/2/2017 6:50:00 PM,44.1
1/2/2017 7:00:00 PM,163.44
1/2/2017 7:10:00 PM,-81.8
1/2/2017 7:20:00 PM,15.63
1/2/2017 7:30:00 PM,131.15
1/2/2017 7:40:00 PM,-5.08
1/2/2017 7:50:00 PM,98.33
1/2/2017 8:00:00 PM,726.26
1/2/2017 8:10:00 PM,662.73
1/2/2017 8:20:00 PM,169.53
1/2/2017 8:30:00 PM,202.31
1/2/2017 8:40:00 PM,-106.85
1/2/2017 8:50:00 PM,102.3
1/2/2017 9:00:00 PM,-19.14
1/2/2017 9:10:00 PM,-133.01
1/2/2017 9:20:00 PM,131.21
1/2/2017 9:30:00 PM,205.26
1/2/2017 9:40:00 PM,-86.63
1/2/2017 9:50:00 PM,125.65
1/2/2017 10:00:00 PM,289.04
1/2/2017 10:10:00 PM,313.7
1/2/2017 10:20:00 PM,-32.26
1/2/2017 10:30:00 PM,-41.29
1/2/2017 10:40:00 PM,-24.56
1/2/2017 10:50:00 PM,-113.34
1/2/2017 11:00:00 PM,166.04
1/2/2017 11:10:00 PM,240.45
1/2/2017 11:20:00 PM,322.56
1/2/2017 11:30:00 PM,369.33
1/2/2017 11:40:00 PM,-38.95
1/2/2017 11:50:00 PM,-172.68
1/3/2017 12:00:00 AM,-210.43
1/3/2017 12:10:00 AM,195.79
1/3/2017 12:20:00 AM,-70.13
1/3/2017 12:30:00 AM,162.47
1/3/2017 12:40:00 AM,242.32
1/3/2017 12:50:00 AM,-70.53
1/3/2017 1:00:00 AM,-24.54
1/3/2017 1:10:00 AM,11.15
1/3/2017 1:20:00 AM,50.74
1/3/2017 1:30:00 AM,7.22
1/3/2017 1:40:00 AM,21.22
1/3/2017 1:50:00 AM,-117.74
1/3/2017 2:00:00 AM,-1.34
1/3/2017 2:10:00 AM,47.14
1/3/2017 2:20:00 AM,-43.82
1/3/2017 2:30:00 AM,134.75
1/3/2017 2:40:00 AM,91.18
1/3/2017 2:50:00 AM,-162.02
1/3/2017 3:00:00 AM,-27.88
1/3/2017 3:10:00 AM,-17.82
1/3/2017 3:20:00 AM,16.17
1/3/2017 3:30:00 AM,47.06
1/3/2017 3:40:00 AM,-17.04
1/3/2017 3:50:00 AM,-31.39
1/3/2017 4:00:00 AM,273.98
1/3/2017 4:10:00 AM,-95.79
1/3/2017 4:20:00 AM,340.57
1/3/2017 4:30:00 AM,-123.34
1/3/2017 4:40:00 AM,125.84
1/3/2017 4:50:00 AM,-165.48
1/3/2017 5:00:00 AM,46.74
1/3/2017 5:10:00 AM,-142.42
1/3/2017 5:20:00 AM,23.24
1/3/2017 5:30:00 AM,17.38
1/3/2017 5:40:00 AM,97.77
1/3/2017 5:50:00 AM,97.45
1/3/2017 6:00:00 AM,264.64
1/3/2017 6:10:00 AM,-172.31
1/3/2017 6:20:00 AM,49.39
1/3/2017 6:30:00 AM,278.78
1/3/2017 6:40:00 AM,-196.88
1/3/2017 6:50:00 AM,53.04
1/3/2017 7:00:00 AM,-18.35
1/3/2017 7:10:00 AM,-741.74
1/3/2017 7:20:00 AM,-534.38
