datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,dasrmcp,total_pjm_rt_load_mwh,total_pjm_cleared_dasr_mwh,total_pjm_dasr_credits,total_pjm_adj_dasr_oblig_mwh
4/1/2017 4:00:00 AM,4/1/2017 12:00:00 AM,4/1/2017 5:00:00 AM,4/1/2017 1:00:00 AM,0.00000,70892.314000,3498.900,0.00,3498.900
4/1/2017 5:00:00 AM,4/1/2017 1:00:00 AM,4/1/2017 6:00:00 AM,4/1/2017 2:00:00 AM,0.00000,68393.580000,3516.100,0.00,3516.100
4/1/2017 6:00:00 AM,4/1/2017 2:00:00 AM,4/1/2017 7:00:00 AM,4/1/2017 3:00:00 AM,0.01000,67125.502000,3474.700,34.78,3474.700
4/1/2017 7:00:00 AM,4/1/2017 3:00:00 AM,4/1/2017 8:00:00 AM,4/1/2017 4:00:00 AM,0.00000,66401.530000,3507.100,0.00,3507.100
4/1/2017 8:00:00 AM,4/1/2017 4:00:00 AM,4/1/2017 9:00:00 AM,4/1/2017 5:00:00 AM,0.00000,66886.763000,3571.300,0.00,3571.300
4/1/2017 9:00:00 AM,4/1/2017 5:00:00 AM,4/1/2017 10:00:00 AM,4/1/2017 6:00:00 AM,0.00000,69244.065000,3616.200,0.00,3616.200
4/1/2017 10:00:00 AM,4/1/2017 6:00:00 AM,4/1/2017 11:00:00 AM,4/1/2017 7:00:00 AM,0.01000,72590.010000,3247.600,32.51,3247.600
4/1/2017 11:00:00 AM,4/1/2017 7:00:00 AM,4/1/2017 12:00:00 PM,4/1/2017 8:00:00 AM,0.01000,75644.662000,3418.700,34.25,3418.700
4/1/2017 12:00:00 PM,4/1/2017 8:00:00 AM,4/1/2017 1:00:00 PM,4/1/2017 9:00:00 AM,0.01000,78232.909000,3484.900,34.87,3484.900
4/1/2017 1:00:00 PM,4/1/2017 9:00:00 AM,4/1/2017 2:00:00 PM,4/1/2017 10:00:00 AM,0.01000,79906.918000,3568.200,35.74,3568.200
4/1/2017 2:00:00 PM,4/1/2017 10:00:00 AM,4/1/2017 3:00:00 PM,4/1/2017 11:00:00 AM,0.09000,80219.489000,3350.400,301.55,3350.400
4/1/2017 3:00:00 PM,4/1/2017 11:00:00 AM,4/1/2017 4:00:00 PM,4/1/2017 12:00:00 PM,0.05000,79534.889000,3538.000,176.99,3538.000
4/1/2017 4:00:00 PM,4/1/2017 12:00:00 PM,4/1/2017 5:00:00 PM,4/1/2017 1:00:00 PM,0.01000,78342.919000,3593.000,35.95,3593.000
4/1/2017 5:00:00 PM,4/1/2017 1:00:00 PM,4/1/2017 6:00:00 PM,4/1/2017 2:00:00 PM,0.01000,76813.508000,3593.800,35.98,3593.800
4/1/2017 6:00:00 PM,4/1/2017 2:00:00 PM,4/1/2017 7:00:00 PM,4/1/2017 3:00:00 PM,0.00000,75368.486000,3685.300,0.00,3685.300
4/1/2017 7:00:00 PM,4/1/2017 3:00:00 PM,4/1/2017 8:00:00 PM,4/1/2017 4:00:00 PM,0.00000,74494.940000,3676.100,0.00,3676.100
4/1/2017 8:00:00 PM,4/1/2017 4:00:00 PM,4/1/2017 9:00:00 PM,4/1/2017 5:00:00 PM,0.00000,74718.326000,3685.201,0.00,3685.201
4/1/2017 9:00:00 PM,4/1/2017 5:00:00 PM,4/1/2017 10:00:00 PM,4/1/2017 6:00:00 PM,0.01000,75260.931000,3654.500,36.56,3654.500
4/1/2017 10:00:00 PM,4/1/2017 6:00:00 PM,4/1/2017 11:00:00 PM,4/1/2017 7:00:00 PM,0.01000,75710.910000,3654.300,36.57,3654.300
4/1/2017 11:00:00 PM,4/1/2017 7:00:00 PM,4/2/2017 12:00:00 AM,4/1/2017 8:00:00 PM,0.01000,77725.413000,3603.300,36.06,3603.300
4/2/2017 12:00:00 AM,4/1/2017 8:00:00 PM,4/2/2017 1:00:00 AM,4/1/2017 9:00:00 PM,0.05000,80104.406000,3596.500,179.92,3596.500
4/2/2017 1:00:00 AM,4/1/2017 9:00:00 PM,4/2/2017 2:00:00 AM,4/1/2017 10:00:00 PM,0.05000,78824.427000,3596.300,179.90,3596.300
