datetime_beginning_utc,datetime_beginning_ept,hrly_da_demand_bid
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,75926.0
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,73288.0
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,71676.0
1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,71019.0
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,71559.0
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,72951.0
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,75961.0
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,78404.0
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,80153.0
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,81929.0
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,81667.0
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,81442.0
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,79831.0
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,79070.0
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,78136.0
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,78654.0
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,82639.0
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,87881.0
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,88034.0
1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,88499.0
1/2/2017 1:00:00 AM,1/1/2017 8:00:00 PM,87798.0
1/2/2017 2:00:00 AM,1/1/2017 9:00:00 PM,84940.0
1/2/2017 3:00:00 AM,1/1/2017 10:00:00 PM,81162.0
1/2/2017 4:00:00 AM,1/1/2017 11:00:00 PM,75344.0
1/2/2017 5:00:00 AM,1/2/2017 12:00:00 AM,71635.0
1/2/2017 6:00:00 AM,1/2/2017 1:00:00 AM,68604.0
1/2/2017 7:00:00 AM,1/2/2017 2:00:00 AM,67172.0
1/2/2017 8:00:00 AM,1/2/2017 3:00:00 AM,67147.0
1/2/2017 9:00:00 AM,1/2/2017 4:00:00 AM,67958.0
1/2/2017 10:00:00 AM,1/2/2017 5:00:00 AM,71526.0
1/2/2017 11:00:00 AM,1/2/2017 6:00:00 AM,76576.0
1/2/2017 12:00:00 PM,1/2/2017 7:00:00 AM,80925.0
1/2/2017 1:00:00 PM,1/2/2017 8:00:00 AM,83006.0
1/2/2017 2:00:00 PM,1/2/2017 9:00:00 AM,84722.0
1/2/2017 3:00:00 PM,1/2/2017 10:00:00 AM,86137.0
1/2/2017 4:00:00 PM,1/2/2017 11:00:00 AM,85567.0
1/2/2017 5:00:00 PM,1/2/2017 12:00:00 PM,84261.0
1/2/2017 6:00:00 PM,1/2/2017 1:00:00 PM,83893.0
1/2/2017 7:00:00 PM,1/2/2017 2:00:00 PM,83147.0
1/2/2017 8:00:00 PM,1/2/2017 3:00:00 PM,83319.0
1/2/2017 9:00:00 PM,1/2/2017 4:00:00 PM,86838.0
1/2/2017 10:00:00 PM,1/2/2017 5:00:00 PM,93415.0
1/2/2017 11:00:00 PM,1/2/2017 6:00:00 PM,91214.0
1/3/2017 12:00:00 AM,1/2/2017 7:00:00 PM,90191.0
1/3/2017 1:00:00 AM,1/2/2017 8:00:00 PM,88021.0
1/3/2017 2:00:00 AM,1/2/2017 9:00:00 PM,83779.0
1/3/2017 3:00:00 AM,1/2/2017 10:00:00 PM,79266.0
1/3/2017 4:00:00 AM,1/2/2017 11:00:00 PM,74049.0
1/3/2017 5:00:00 AM,1/3/2017 12:00:00 AM,72085.0
1/3/2017 6:00:00 AM,1/3/2017 1:00:00 AM,69979.0
1/3/2017 7:00:00 AM,1/3/2017 2:00:00 AM,68589.0
1/3/2017 8:00:00 AM,1/3/2017 3:00:00 AM,68634.0
1/3/2017 9:00:00 AM,1/3/2017 4:00:00 AM,70395.0
1/3/2017 10:00:00 AM,1/3/2017 5:00:00 AM,76201.0
