datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,1,PJM-RTO,,,ZONE,,20.32,20.477209,0.204261,-0.047052,True,1
1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,1,PJM-RTO,,,ZONE,,19.28,19.423133,0.219547,-0.076414,True,1
1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,1,PJM-RTO,,,ZONE,,17.07,17.244261,0.232292,-0.058031,True,1
1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,1,PJM-RTO,,,ZONE,,16.89,17.047802,0.224376,-0.066574,True,1
1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,1,PJM-RTO,,,ZONE,,17.37,17.596576,0.277783,-0.051207,True,1
1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,1,PJM-RTO,,,ZONE,,18.68,19.122908,0.472230,-0.029322,True,1
1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,1,PJM-RTO,,,ZONE,,19.99,21.403117,1.392960,0.020157,True,1
1/1/2016 12:00:00 PM,1/1/2016 7:00:00 AM,1,PJM-RTO,,,ZONE,,21.37,22.582485,1.190125,0.022360,True,1
1/1/2016 1:00:00 PM,1/1/2016 8:00:00 AM,1,PJM-RTO,,,ZONE,,21.77,23.351302,1.563362,0.017940,True,1
1/1/2016 2:00:00 PM,1/1/2016 9:00:00 AM,1,PJM-RTO,,,ZONE,,22.69,24.235039,1.514637,0.030402,True,1
1/1/2016 3:00:00 PM,1/1/2016 10:00:00 AM,1,PJM-RTO,,,ZONE,,22.92,24.260725,1.305028,0.035697,True,1
1/1/2016 4:00:00 PM,1/1/2016 11:00:00 AM,1,PJM-RTO,,,ZONE,,22.39,23.537255,1.133572,0.013683,True,1
1/1/2016 5:00:00 PM,1/1/2016 12:00:00 PM,1,PJM-RTO,,,ZONE,,21.50,22.840716,1.334210,0.006506,True,1
1/1/2016 6:00:00 PM,1/1/2016 1:00:00 PM,1,PJM-RTO,,,ZONE,,21.07,22.156267,1.045098,0.041169,True,1
1/1/2016 7:00:00 PM,1/1/2016 2:00:00 PM,1,PJM-RTO,,,ZONE,,21.04,21.872167,0.822462,0.009705,True,1
1/1/2016 8:00:00 PM,1/1/2016 3:00:00 PM,1,PJM-RTO,,,ZONE,,21.17,21.989974,0.811823,0.008151,True,1
1/1/2016 9:00:00 PM,1/1/2016 4:00:00 PM,1,PJM-RTO,,,ZONE,,23.34,24.492674,1.032361,0.120313,True,1
