datetime_beginning_utc,datetime_beginning_ept,hrly_da_demand_bid
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,74917.0
1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,73001.0
1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,71791.0
1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,71383.0
1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,71973.0
1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,73478.0
1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,77508.0
1/1/2016 12:00:00 PM,1/1/2016 7:00:00 AM,81091.0
1/1/2016 1:00:00 PM,1/1/2016 8:00:00 AM,82679.0
1/1/2016 2:00:00 PM,1/1/2016 9:00:00 AM,85034.0
1/1/2016 3:00:00 PM,1/1/2016 10:00:00 AM,85499.0
1/1/2016 4:00:00 PM,1/1/2016 11:00:00 AM,84806.0
1/1/2016 5:00:00 PM,1/1/2016 12:00:00 PM,83193.0
1/1/2016 6:00:00 PM,1/1/2016 1:00:00 PM,81875.0
1/1/2016 7:00:00 PM,1/1/2016 2:00:00 PM,81058.0
1/1/2016 8:00:00 PM,1/1/2016 3:00:00 PM,81171.0
1/1/2016 9:00:00 PM,1/1/2016 4:00:00 PM,85569.0
1/1/2016 10:00:00 PM,1/1/2016 5:00:00 PM,93190.0
1/1/2016 11:00:00 PM,1/1/2016 6:00:00 PM,94111.0
1/2/2016 12:00:00 AM,1/1/2016 7:00:00 PM,92817.0
1/2/2016 1:00:00 AM,1/1/2016 8:00:00 PM,92025.0
1/2/2016 2:00:00 AM,1/1/2016 9:00:00 PM,89438.0
1/2/2016 3:00:00 AM,1/1/2016 10:00:00 PM,85982.0
1/2/2016 4:00:00 AM,1/1/2016 11:00:00 PM,81828.0
1/2/2016 5:00:00 AM,1/2/2016 12:00:00 AM,80059.0
1/2/2016 6:00:00 AM,1/2/2016 1:00:00 AM,77749.0
1/2/2016 7:00:00 AM,1/2/2016 2:00:00 AM,76620.0
1/2/2016 8:00:00 AM,1/2/2016 3:00:00 AM,76774.0
1/2/2016 9:00:00 AM,1/2/2016 4:00:00 AM,77298.0
1/2/2016 10:00:00 AM,1/2/2016 5:00:00 AM,80037.0
1/2/2016 11:00:00 AM,1/2/2016 6:00:00 AM,83976.0
1/2/2016 12:00:00 PM,1/2/2016 7:00:00 AM,87925.0
1/2/2016 1:00:00 PM,1/2/2016 8:00:00 AM,90024.0
1/2/2016 2:00:00 PM,1/2/2016 9:00:00 AM,91329.0
1/2/2016 3:00:00 PM,1/2/2016 10:00:00 AM,90355.0
1/2/2016 4:00:00 PM,1/2/2016 11:00:00 AM,88528.0
1/2/2016 5:00:00 PM,1/2/2016 12:00:00 PM,86066.0
1/2/2016 6:00:00 PM,1/2/2016 1:00:00 PM,83965.0
1/2/2016 7:00:00 PM,1/2/2016 2:00:00 PM,82320.0
1/2/2016 8:00:00 PM,1/2/2016 3:00:00 PM,82221.0
1/2/2016 9:00:00 PM,1/2/2016 4:00:00 PM,85815.0
1/2/2016 10:00:00 PM,1/2/2016 5:00:00 PM,94829.0
1/2/2016 11:00:00 PM,1/2/2016 6:00:00 PM,95975.0
1/3/2016 12:00:00 AM,1/2/2016 7:00:00 PM,94877.0
1/3/2016 1:00:00 AM,1/2/2016 8:00:00 PM,93675.0
1/3/2016 2:00:00 AM,1/2/2016 9:00:00 PM,91976.0
1/3/2016 3:00:00 AM,1/2/2016 10:00:00 PM,87601.0
1/3/2016 4:00:00 AM,1/2/2016 11:00:00 PM,83137.0
1/3/2016 5:00:00 AM,1/3/2016 12:00:00 AM,79398.0
1/3/2016 6:00:00 AM,1/3/2016 1:00:00 AM,77234.0
1/3/2016 7:00:00 AM,1/3/2016 2:00:00 AM,76245.0
1/3/2016 8:00:00 AM,1/3/2016 3:00:00 AM,76557.0
1/3/2016 9:00:00 AM,1/3/2016 4:00:00 AM,76732.0
1/3/2016 10:00:00 AM,1/3/2016 5:00:00 AM,78407.0
1/3/2016 11:00:00 AM,1/3/2016 6:00:00 AM,81512.0
1/3/2016 12:00:00 PM,1/3/2016 7:00:00 AM,85333.0
1/3/2016 1:00:00 PM,1/3/2016 8:00:00 AM,86880.0
1/3/2016 2:00:00 PM,1/3/2016 9:00:00 AM,87482.0
1/3/2016 3:00:00 PM,1/3/2016 10:00:00 AM,86147.0
1/3/2016 4:00:00 PM,1/3/2016 11:00:00 AM,84183.0
1/3/2016 5:00:00 PM,1/3/2016 12:00:00 PM,82962.0
1/3/2016 6:00:00 PM,1/3/2016 1:00:00 PM,81691.0
1/3/2016 7:00:00 PM,1/3/2016 2:00:00 PM,80657.0
1/3/2016 8:00:00 PM,1/3/2016 3:00:00 PM,81081.0
1/3/2016 9:00:00 PM,1/3/2016 4:00:00 PM,86420.0
1/3/2016 10:00:00 PM,1/3/2016 5:00:00 PM,97474.0
1/3/2016 11:00:00 PM,1/3/2016 6:00:00 PM,97663.0
1/4/2016 12:00:00 AM,1/3/2016 7:00:00 PM,96297.0
1/4/2016 1:00:00 AM,1/3/2016 8:00:00 PM,95096.0
1/4/2016 2:00:00 AM,1/3/2016 9:00:00 PM,92079.0
1/4/2016 3:00:00 AM,1/3/2016 10:00:00 PM,87843.0
1/4/2016 4:00:00 AM,1/3/2016 11:00:00 PM,83196.0
1/4/2016 5:00:00 AM,1/4/2016 12:00:00 AM,82222.0
1/4/2016 6:00:00 AM,1/4/2016 1:00:00 AM,81080.0
1/4/2016 7:00:00 AM,1/4/2016 2:00:00 AM,80675.0
1/4/2016 8:00:00 AM,1/4/2016 3:00:00 AM,81589.0
1/4/2016 9:00:00 AM,1/4/2016 4:00:00 AM,84092.0
1/4/2016 10:00:00 AM,1/4/2016 5:00:00 AM,91497.0
1/4/2016 11:00:00 AM,1/4/2016 6:00:00 AM,102940.0
1/4/2016 12:00:00 PM,1/4/2016 7:00:00 AM,108719.0
1/4/2016 1:00:00 PM,1/4/2016 8:00:00 AM,107684.0
1/4/2016 2:00:00 PM,1/4/2016 9:00:00 AM,106128.0
1/4/2016 3:00:00 PM,1/4/2016 10:00:00 AM,105241.0
